text,label
cab,taxi
cabbie,taxi
car,taxi
car service,taxi
lyft,taxi
machine,taxi
oncoming,taxi
oncoming taxi,taxi
taxi,taxi
transportation,taxi
travel,taxi
uber,taxi
vehicle,taxi
cab mañana,taxi
cabbie mañana,taxi
car mañana,taxi
car service mañana,taxi
lyft mañana,taxi
machine mañana,taxi
oncoming mañana,taxi
oncoming taxi mañana,taxi
taxi mañana,taxi
transportation mañana,taxi
travel mañana,taxi
uber mañana,taxi
vehicle mañana,taxi
cab el lunes,taxi
cabbie el lunes,taxi
car el lunes,taxi
car service el lunes,taxi
lyft el lunes,taxi
machine el lunes,taxi
oncoming el lunes,taxi
oncoming taxi el lunes,taxi
taxi el lunes,taxi
transportation el lunes,taxi
travel el lunes,taxi
uber el lunes,taxi
vehicle el lunes,taxi
cab este fin de semana,taxi
cabbie este fin de semana,taxi
car este fin de semana,taxi
car service este fin de semana,taxi
lyft este fin de semana,taxi
machine este fin de semana,taxi
oncoming este fin de semana,taxi
oncoming taxi este fin de semana,taxi
taxi este fin de semana,taxi
transportation este fin de semana,taxi
travel este fin de semana,taxi
uber este fin de semana,taxi
vehicle este fin de semana,taxi
encontrar cab en línea,taxi
encontrar cabbie en línea,taxi
encontrar car en línea,taxi
oncomig,taxi
oncomin este fin de semana,taxi
lyft el luens,taxi
travell este fin de semana,taxi
oncomingg el lunes,taxi
