text,label
apartment,buildings
business,buildings
city,buildings
company,buildings
office,buildings
urban,buildings
work,buildings
buildings,buildings
apartment hebdomadaire,buildings
business hebdomadaire,buildings
city hebdomadaire,buildings
company hebdomadaire,buildings
office hebdomadaire,buildings
urban hebdomadaire,buildings
work hebdomadaire,buildings
buildings hebdomadaire,buildings
ne pas oublier apartment,buildings
ne pas oublier business,buildings
ne pas oublier city,buildings
ne pas oublier company,buildings
ne pas oublier office,buildings
ne pas oublier urban,buildings
ne pas oublier work,buildings
ne pas oublier buildings,buildings
commencer apartment,buildings
commencer business,buildings
commencer city,buildings
commencer company,buildings
commencer office,buildings
commencer urban,buildings
commencer work,buildings
commencer buildings,buildings
apartment pour samedi,buildings
business pour samedi,buildings
city pour samedi,buildings
company pour samedi,buildings
office pour samedi,buildings
urban pour samedi,buildings
work pour samedi,buildings
buildings pour samedi,buildings
apartment lundi,buildings
business lundi,buildings
city lundi,buildings
company lundi,buildings
office lundi,buildings
urban lundi,buildings
work lundi,buildings
buildings lundi,buildings
réparer apartment,buildings
réparer business,buildings
réparer city,buildings
réparer company,buildings
réparer office,buildings
réparer urban,buildings
réparer work,buildings
rparer city,buildings
work ludi,buildings
commecer apartment,buildings
apartmeent,buildings
nouveau apartment,buildings
