text,label
ice,hockey-puck
nhl,hockey-puck
sport,hockey-puck
hockey,hockey-puck
puck,hockey-puck
hockey puck,hockey-puck
ice semanal,hockey-puck
nhl semanal,hockey-puck
sport semanal,hockey-puck
hockey semanal,hockey-puck
puck semanal,hockey-puck
hockey puck semanal,hockey-puck
ice hoy,hockey-puck
nhl hoy,hockey-puck
sport hoy,hockey-puck
hockey hoy,hockey-puck
puck hoy,hockey-puck
hockey puck hoy,hockey-puck
terminar ice,hockey-puck
terminar nhl,hockey-puck
terminar sport,hockey-puck
terminar hockey,hockey-puck
terminar puck,hockey-puck
terminar hockey puck,hockey-puck
ice este fin de semana,hockey-puck
nhl este fin de semana,hockey-puck
sport este fin de semana,hockey-puck
hockey este fin de semana,hockey-puck
puck este fin de semana,hockey-puck
hockey puck este fin de semana,hockey-puck
ice por la noche,hockey-puck
nhl por la noche,hockey-puck
sport por la noche,hockey-puck
hockey por la noche,hockey-puck
puck por la noche,hockey-puck
hockey puck por la noche,hockey-puck
ice mañana,hockey-puck
nhl mañana,hockey-puck
sport mañana,hockey-puck
hockey mañana,hockey-puck
puck mañana,hockey-puck
hockey puck mañana,hockey-puck
ice para el viaje,hockey-puck
nhl para el viaje,hockey-puck
sport para el viaje,hockey-puck
hockey para el viaje,hockey-puck
puck para el viaje,hockey-puck
hockey puck para el viaje,hockey-puck
ice por la mañana,hockey-puck
nhl por la mañana,hockey-puck
sport por la mañana,hockey-puck
hockey por la mañana,hockey-puck
puck por la mañana,hockey-puck
hockey puck por la mañana,hockey-puck
ice el lunes,hockey-puck
hoceky,hockey-puck
sport porr la noche,hockey-puck
icce hoy,hockey-puck
sport hyo,hockey-puck
ice por la nochhe,hockey-puck
