text,label
animal,shield-dog
canine,shield-dog
pet,shield-dog
protect,shield-dog
safety,shield-dog
veterinary,shield-dog
shield,shield-dog
ドッグ,shield-dog
shield dog,shield-dog
animalは今日,shield-dog
canineは今日,shield-dog
petは今日,shield-dog
protectは今日,shield-dog
safetyは今日,shield-dog
veterinaryは今日,shield-dog
shieldは今日,shield-dog
ドッグは今日,shield-dog
shield dogは今日,shield-dog
そろそろanimal,shield-dog
そろそろcanine,shield-dog
そろそろpet,shield-dog
そろそろprotect,shield-dog
そろそろsafety,shield-dog
そろそろveterinary,shield-dog
そろそろshield,shield-dog
そろそろドッグ,shield-dog
そろそろshield dog,shield-dog
週末にanimal,shield-dog
週末にcanine,shield-dog
週末にpet,shield-dog
週末にprotect,shield-dog
週末にsafety,shield-dog
週末にveterinary,shield-dog
週末にshield,shield-dog
週末にドッグ,shield-dog
週末にshield dog,shield-dog
animalを手配する,shield-dog
canineを手配する,shield-dog
petを手配する,shield-dog
protectを手配する,shield-dog
safetyを手配する,shield-dog
veterinaryを手配する,shield-dog
shieldを手配する,shield-dog
ドッグを手配する,shield-dog
shield dogを手配する,shield-dog
仕事の後にanimal,shield-dog
仕事の後にcanine,shield-dog
仕事の後にpet,shield-dog
仕事の後にprotect,shield-dog
仕事の後にsafety,shield-dog
仕事の後にveterinary,shield-dog
仕事の後にshield,shield-dog
仕事の後にドッグ,shield-dog
仕事の後にshield dog,shield-dog
animalを始める,shield-dog
仕事の後にhield dog,shield-dog
potectを手配する,shield-dog
protctは今日,shield-dog
proectを手配する,shield-dog
週末ドッグ,shield-dog
