text,label
алкоголь,champagne-glass
бар,champagne-glass
напиток,champagne-glass
праздник,champagne-glass
шампанское,champagne-glass
бокал,champagne-glass
вечеринка,champagne-glass
безалкогольная версия с игристым соком,champagne-glass
алкоголь подают ответственно на мероприятии,champagne-glass
в барном меню шампанское по бокалам,champagne-glass
барная тележка для новогодней вечеринки,champagne-glass
холодный напиток налит в высокий фужер,champagne-glass
меню напитков в дорогом ресторане,champagne-glass
праздничный тост с бокалами шампанского,champagne-glass
празднование большой годовщины,champagne-glass
шампанское пузырится в хрустальном фужере,champagne-glass
пробка шампанского вылетает в полночь,champagne-glass
пейте ответственно написано на этикетке,champagne-glass
праздничный напиток разливают гостям,champagne-glass
праздничная встреча с тостами шампанским,champagne-glass
зимние праздники с поднятыми бокалами,champagne-glass
вечеринка начинается с тоста шампанским,champagne-glass
украшение вечеринки с конфетти и фужерами,champagne-glass
высокий фужер шампанского с пузырьками,champagne-glass
бокал шампанского звенит на тосте,champagne-glass
обратный отсчет Нового года с шампанским,champagne-glass
бокалы шампанского на свадебном столе,champagne-glass
бутылка шампанского открыта на вечеринке победы,champagne-glass
игристое вино в элегантном фужере,champagne-glass
иконка праздника с бокалом шампанского,champagne-glass
полуночный тост шампанским на вечеринке,champagne-glass
шампанское на двоих за ужином в годовщину,champagne-glass
эмодзи бокала шампанского для event app,champagne-glass
показать фужер шампанского на экране RSVP,champagne-glass
использовать бокал шампанского для напоминания о тосте,champagne-glass
бокал шампанского звенит на вечеринке,champagne-glass
фужер шампанского наполнен пузырьками,champagne-glass
праздничный тост шампанским,champagne-glass
новогодний бокал шампанского в полночь,champagne-glass
бокал вина с красным вином внутри,champagne-glass
коктейльный бокал со льдом и garnish,champagne-glass
пивная кружка с густой пеной,champagne-glass
бокал мартини с оливкой,champagne-glass
стакан сока с дольками апельсина,champagne-glass
стакан воды на столе,champagne-glass
alcohol,champagne-glass
bar,champagne-glass
beverage,champagne-glass
celebration,champagne-glass
champagne,champagne-glass
drink,champagne-glass
holiday,champagne-glass
party,champagne-glass
glass,champagne-glass
champagne glass,champagne-glass
новый alcohol,champagne-glass
новый bar,champagne-glass
новый beverage,champagne-glass
новый celebration,champagne-glass
новый champagne,champagne-glass
