text,label
am,radio
broadcast,radio
fm,radio
frequency,radio
music,radio
news,radio
radio,radio
receiver,radio
transmitter,radio
tuner,radio
video,radio
am después del trabajo,radio
broadcast después del trabajo,radio
fm después del trabajo,radio
frequency después del trabajo,radio
music después del trabajo,radio
news después del trabajo,radio
radio después del trabajo,radio
receiver después del trabajo,radio
transmitter después del trabajo,radio
tuner después del trabajo,radio
video después del trabajo,radio
am mañana,radio
broadcast mañana,radio
fm mañana,radio
frequency mañana,radio
music mañana,radio
news mañana,radio
radio mañana,radio
receiver mañana,radio
transmitter mañana,radio
tuner mañana,radio
video mañana,radio
am este fin de semana,radio
broadcast este fin de semana,radio
fm este fin de semana,radio
frequency este fin de semana,radio
music este fin de semana,radio
news este fin de semana,radio
radio este fin de semana,radio
receiver este fin de semana,radio
transmitter este fin de semana,radio
tuner este fin de semana,radio
video este fin de semana,radio
am para el sábado,radio
broadcast para el sábado,radio
fm para el sábado,radio
frequency para el sábado,radio
music para el sábado,radio
news para el sábado,radio
radio para el sábado,radio
receiver para el sábado,radio
transmitter para el sábado,radio
tuner para el sábado,radio
video para el sábado,radio
radio después de trabajo,radio
frequenyc mañana,radio
radio desppués del trabajo,radio
video para el sáábado,radio
am este fni de semana,radio
