text,label
チェア,loveseat
couch,loveseat
cushion,loveseat
furniture,loveseat
relax,loveseat
sofa,loveseat
loveseat,loveseat
チェアを忘れないで,loveseat
couchを忘れないで,loveseat
cushionを忘れないで,loveseat
furnitureを忘れないで,loveseat
relaxを忘れないで,loveseat
sofaを忘れないで,loveseat
loveseatを忘れないで,loveseat
明日チェア,loveseat
明日couch,loveseat
明日cushion,loveseat
明日furniture,loveseat
明日relax,loveseat
明日sofa,loveseat
明日loveseat,loveseat
月曜日にチェア,loveseat
月曜日にcouch,loveseat
月曜日にcushion,loveseat
月曜日にfurniture,loveseat
月曜日にrelax,loveseat
月曜日にsofa,loveseat
月曜日にloveseat,loveseat
週末にチェア,loveseat
週末にcouch,loveseat
週末にcushion,loveseat
週末にfurniture,loveseat
週末にrelax,loveseat
週末にsofa,loveseat
週末にloveseat,loveseat
チェアを計画する,loveseat
couchを計画する,loveseat
cushionを計画する,loveseat
furnitureを計画する,loveseat
relaxを計画する,loveseat
sofaを計画する,loveseat
loveseatを計画する,loveseat
朝のチェア,loveseat
朝のcouch,loveseat
朝のcushion,loveseat
朝のfurniture,loveseat
朝のrelax,loveseat
朝のsofa,loveseat
朝のloveseat,loveseat
土曜日にチェア,loveseat
土曜日にcouch,loveseat
土曜日にcushion,loveseat
土曜日にfurniture,loveseat
土曜日にrelax,loveseat
土曜日にsofa,loveseat
朝のsfa,loveseat
sofをa忘れないで,loveseat
cushino,loveseat
週末ににチェア,loveseat
月曜日にチアェ,loveseat
