text,label
building,tree-city
city,tree-city
urban,tree-city
tree,tree-city
tree city,tree-city
nuevo building,tree-city
nuevo city,tree-city
nuevo urban,tree-city
nuevo tree,tree-city
nuevo tree city,tree-city
empacar el building,tree-city
empacar el city,tree-city
empacar el urban,tree-city
empacar el tree,tree-city
empacar el tree city,tree-city
building mañana,tree-city
city mañana,tree-city
urban mañana,tree-city
tree mañana,tree-city
tree city mañana,tree-city
empacar building pronto,tree-city
empacar city pronto,tree-city
empacar urban pronto,tree-city
empacar tree pronto,tree-city
empacar tree city pronto,tree-city
building por la mañana,tree-city
city por la mañana,tree-city
urban por la mañana,tree-city
tree por la mañana,tree-city
tree city por la mañana,tree-city
building para el sábado,tree-city
city para el sábado,tree-city
urban para el sábado,tree-city
tree para el sábado,tree-city
tree city para el sábado,tree-city
building para los niños,tree-city
city para los niños,tree-city
urban para los niños,tree-city
tree para los niños,tree-city
tree city para los niños,tree-city
building hoy,tree-city
city hoy,tree-city
urban hoy,tree-city
tree hoy,tree-city
tree city hoy,tree-city
building semanal,tree-city
city semanal,tree-city
urban semanal,tree-city
tree semanal,tree-city
tree city semanal,tree-city
building después del trabajo,tree-city
city después del trabajo,tree-city
urban después del trabajo,tree-city
tree después del trabajo,tree-city
tree city después del trabajo,tree-city
buiilding,tree-city
nevo building,tree-city
tree cty mañana,tree-city
building paraa el sábado,tree-city
buidling por la mañana,tree-city
