text,label
информация,barcode
лазер,barcode
цена,barcode
UPC,barcode
отсканировать для получения информации о товаре,barcode
использовать лазерный сканер на кассе,barcode
отсканировать чтобы узнать цену,barcode
отсканировать штрихкод,barcode
найти код UPC,barcode
Отсканировать штрихкод на кассе,barcode
Проверить цену сканером штрихкода,barcode
Найти информацию о товаре по штрихкоду,barcode
Сканировать товар для инвентаризации,barcode
Считать штрихкод на упаковке,barcode
Сканирование штрихкода для чека,barcode
Настроить сканирование штрихкодов в приложении,barcode
Отслеживать товары по штрихкодам,barcode
Напечатать этикетки со штрихкодами,barcode
Сканировать для проверки товара,barcode
Просто отсканируй штрихкод чтобы проверить цену,barcode
Дай я отсканирую — посмотрю что это,barcode
Можешь отсканировать это?,barcode
Надо отсканировать все эти товары,barcode
Отсканировть штрихкод,barcode
Сканер штрихкодов на кассе,barcode
Проверить цену сканиром,barcode
Отсканироваьт код UPC,barcode
Отсканировать QR-код,barcode
Проверить ценник,barcode
Считать NFC-метку,barcode
Отсканировать чек,barcode
Проверка цены на кассе,barcode
Прочитать этикетку товара,barcode
Информация о продукте через сканирование,barcode
Лазерный сканер не работает на кассе,barcode
Проверить цену через сканер штрихкода,barcode
Отсканировать этикетку перед кассой,barcode
Поиск UPC кода для системы учёта,barcode
