text,label
жёсткий диск,hard-drive
заменить жёсткий диск,hard-drive
увеличить хранилище на компьютере,hard-drive
внешний жёсткий диск для бэкапа,hard-drive
отформатировать жёсткий диск,hard-drive
скопировать файлы на диск,hard-drive
диск переполнен,hard-drive
установить новый жёсткий диск,hard-drive
восстановить файлы с диска,hard-drive
клонировать жёсткий диск,hard-drive
сделать резервную копию проекта на диск,hard-drive
добавить память на ноутбук,hard-drive
предупреждение о сбое диска,hard-drive
заменить старый накопитель,hard-drive
сохранить архив на диск,hard-drive
перенести фото на жёсткий диск,hard-drive
подключить внешний диск,hard-drive
обновить хранилище на компьютере,hard-drive
проверить состояние диска,hard-drive
освободить место на диске,hard-drive
перенести данные на новый диск,hard-drive
ssd или жёсткий диск,hard-drive
диск для резервного хранения,hard-drive
заканчивается место на диске,hard-drive
заменить неисправный диск,hard-drive
архивировать файлы на жёсткий диск,hard-drive
установить внешний накопитель,hard-drive
жёсткий диск не определяется,hard-drive
починить накопитель,hard-drive
утилита для жёсткого диска,hard-drive
обновить диск в системном блоке,hard-drive
портативный жёсткий диск для поездки,hard-drive
резервный диск для офиса,hard-drive
корпус для старого диска,hard-drive
перенести архив проекта на диск,hard-drive
диск внутри системного блока,hard-drive
большой диск для медиафайлов,hard-drive
резервный диск для ноутбука,hard-drive
восстановить данные с диска,hard-drive
накопитель для видеофайлов,hard-drive
заменить загрузочный диск,hard-drive
проверить здоровье диска,hard-drive
кабель для переноса данных с диска,hard-drive
значок дискового хранилища,hard-drive
добавить ещё один отсек для диска,hard-drive
