text,label
hospital,bed
ホテル,bed
lodging,bed
mattress,bed
patient,bed
person in bed,bed
rest,bed
sleep,bed
travel,bed
uer,bed
ベッド,bed
旅行用のhospital,bed
旅行用のホテル,bed
旅行用のlodging,bed
旅行用のmattress,bed
旅行用のpatient,bed
旅行用のperson in bed,bed
旅行用のrest,bed
旅行用のsleep,bed
旅行用のtravel,bed
旅行用のuer,bed
旅行用のベッド,bed
そろそろhospital,bed
そろそろホテル,bed
そろそろlodging,bed
そろそろmattress,bed
そろそろpatient,bed
そろそろperson in bed,bed
そろそろrest,bed
そろそろsleep,bed
そろそろtravel,bed
そろそろuer,bed
そろそろベッド,bed
仕事の後にhospital,bed
仕事の後にホテル,bed
仕事の後にlodging,bed
仕事の後にmattress,bed
仕事の後にpatient,bed
仕事の後にperson in bed,bed
仕事の後にrest,bed
仕事の後にsleep,bed
仕事の後にtravel,bed
仕事の後にuer,bed
仕事の後にベッド,bed
週末にhospital,bed
週末にホテル,bed
週末にlodging,bed
週末にmattress,bed
週末にpatient,bed
週末にperson in bed,bed
週末にrest,bed
週末にsleep,bed
週末にtravel,bed
週末にuer,bed
週末にベッド,bed
loodging,bed
そろろそuer,bed
そろそろselep,bed
旅行の用rest,bed
仕事の後ににホテル,bed
