text,label
акустический,guitar
инструмент,guitar
музыка,guitar
рок,guitar
рок-н-ролл,guitar
песня,guitar
струны,guitar
"акустическая гитара, играемая у костра",guitar
"акустическая гитара, играющая мелодию",guitar
гитара как музыкальный инструмент,guitar
струнный инструмент гитара,guitar
"музыка, играемая на гитаре",guitar
гитарная музыка на концерте,guitar
рок-гитарный рифф на сцене,guitar
"рок-концерт, электрогитара",guitar
рок-н-ролл пауэр-аккорд на гитаре,guitar
рок-н-ролльная группа на гитарах,guitar
"песня, сыгранная на акустической гитаре",guitar
сыграть песню на гитаре,guitar
guitar strings plucked gently,guitar
струны на грифе гитары,guitar
акустическая гитара с шестью струнами,guitar
электрогитара на концертной сцене,guitar
гитарист играет аккорды у костра,guitar
соло на гитаре на рок-концерте,guitar
классическая гитара с нейлоновыми струнами,guitar
медиатор на грифе,guitar
бас-гитара играла в группе,guitar
последовательность гитарных аккордов в песне,guitar
дорожная гитара для музыканта в дороге,guitar
табулатура гитары отображается в музыкальном приложении,guitar
Мне нужен значок гитары для музыкального приложения,guitar
добавить символ гитары в раздел инструментов,guitar
покажи гитару в категории жанра рок,guitar
используйте значок гитары для функции воспроизведения песни,guitar
игра на акустической гитаре,guitar
соло гитариста на сцене,guitar
рок-концерт на гитаре,guitar
"музыка, играемая на гитаре",guitar
укулеле с четырьмя струнами на острове,guitar
"смычок скрипки, натянутый по струнам",guitar
банджо играли на фестивале мятлика,guitar
электрическая бас-гитара в студии,guitar
клавиши пианино в музыкальной студии,guitar
ударная установка за гитаристом,guitar
