text,label
fire,hose-reel
irrigation,hose-reel
water,hose-reel
hose,hose-reel
reel,hose-reel
hose reel,hose-reel
fire heute,hose-reel
irrigation heute,hose-reel
water heute,hose-reel
hose heute,hose-reel
reel heute,hose-reel
hose reel heute,hose-reel
fire bald überprüfen,hose-reel
irrigation bald überprüfen,hose-reel
water bald überprüfen,hose-reel
hose bald überprüfen,hose-reel
reel bald überprüfen,hose-reel
hose reel bald überprüfen,hose-reel
fire am Montag,hose-reel
irrigation am Montag,hose-reel
water am Montag,hose-reel
hose am Montag,hose-reel
reel am Montag,hose-reel
hose reel am Montag,hose-reel
fire nicht vergessen,hose-reel
irrigation nicht vergessen,hose-reel
water nicht vergessen,hose-reel
hose nicht vergessen,hose-reel
reel nicht vergessen,hose-reel
hose reel nicht vergessen,hose-reel
fire für die Reise,hose-reel
irrigation für die Reise,hose-reel
water für die Reise,hose-reel
hose für die Reise,hose-reel
reel für die Reise,hose-reel
hose reel für die Reise,hose-reel
fire im Laden überprüfen,hose-reel
irrigation im Laden überprüfen,hose-reel
water im Laden überprüfen,hose-reel
hose im Laden überprüfen,hose-reel
reel im Laden überprüfen,hose-reel
hose reel im Laden überprüfen,hose-reel
fire am Wochenende,hose-reel
irrigation am Wochenende,hose-reel
water am Wochenende,hose-reel
hose am Wochenende,hose-reel
reel am Wochenende,hose-reel
hose reel am Wochenende,hose-reel
neuen fire überprüfen,hose-reel
neuen irrigation überprüfen,hose-reel
neuen water überprüfen,hose-reel
neuen hose überprüfen,hose-reel
neuen reel überprüfen,hose-reel
neuen hose reel überprüfen,hose-reel
fire morgens,hose-reel
water am Wohenende,hose-reel
fire morgeens,hose-reel
water heuute,hose-reel
fire bal überprüfen,hose-reel
irrigaton,hose-reel
