text,label
avocado,avocado
food,avocado
fruit,avocado
green,avocado
guacamole,avocado
hass,avocado
pit,avocado
ranger avocado bientôt,avocado
ranger food bientôt,avocado
ranger fruit bientôt,avocado
ranger green bientôt,avocado
ranger guacamole bientôt,avocado
ranger hass bientôt,avocado
ranger pit bientôt,avocado
avocado rendez-vous,avocado
food rendez-vous,avocado
fruit rendez-vous,avocado
green rendez-vous,avocado
guacamole rendez-vous,avocado
hass rendez-vous,avocado
pit rendez-vous,avocado
avocado pour samedi,avocado
food pour samedi,avocado
fruit pour samedi,avocado
green pour samedi,avocado
guacamole pour samedi,avocado
hass pour samedi,avocado
pit pour samedi,avocado
avocado ce week-end,avocado
food ce week-end,avocado
fruit ce week-end,avocado
green ce week-end,avocado
guacamole ce week-end,avocado
hass ce week-end,avocado
pit ce week-end,avocado
avocado le matin,avocado
food le matin,avocado
fruit le matin,avocado
green le matin,avocado
guacamole le matin,avocado
hass le matin,avocado
pit le matin,avocado
ranger avocado,avocado
ranger food,avocado
ranger fruit,avocado
ranger green,avocado
ranger guacamole,avocado
ranger hass,avocado
ranger pit,avocado
avocado aujourd'hui,avocado
food aujourd'hui,avocado
fruit aujourd'hui,avocado
green aujourd'hui,avocado
guacamole aujourd'hui,avocado
hass aujourd'hui,avocado
rangger food bientôt,avocado
fruit pour sameedi,avocado
ranger has bientôt,avocado
frut ce week-end,avocado
pit aujourd'hui,avocado
