text,label
archive,forklift
inventory,forklift
lorry,forklift
maintenance,forklift
pallet,forklift
shipping,forklift
トラクター,forklift
warehouse,forklift
forklift,forklift
archiveを忘れないで,forklift
inventoryを忘れないで,forklift
lorryを忘れないで,forklift
maintenanceを忘れないで,forklift
palletを忘れないで,forklift
shippingを忘れないで,forklift
トラクターを忘れないで,forklift
warehouseを忘れないで,forklift
forkliftを忘れないで,forklift
archiveを探す,forklift
inventoryを探す,forklift
lorryを探す,forklift
maintenanceを探す,forklift
palletを探す,forklift
shippingを探す,forklift
トラクターを探す,forklift
warehouseを探す,forklift
forkliftを探す,forklift
明日archive,forklift
明日inventory,forklift
明日lorry,forklift
明日maintenance,forklift
明日pallet,forklift
明日shipping,forklift
明日トラクター,forklift
明日warehouse,forklift
明日forklift,forklift
毎週のarchive,forklift
毎週のinventory,forklift
毎週のlorry,forklift
毎週のmaintenance,forklift
毎週のpallet,forklift
毎週のshipping,forklift
毎週のトラクター,forklift
毎週のwarehouse,forklift
毎週のforklift,forklift
月曜日にarchive,forklift
月曜日にinventory,forklift
月曜日にlorry,forklift
月曜日にmaintenance,forklift
月曜日にpallet,forklift
月曜日にshipping,forklift
月曜日にトラクター,forklift
月曜日にwarehouse,forklift
月曜日にforklift,forklift
archiveは今日,forklift
月曜日にトラタクー,forklift
毎週のshippng,forklift
毎のarchive,forklift
arhcive,forklift
明日warheouse,forklift
