text,label
bodega,shop
building,shop
buy,shop
market,shop
purchase,shop
shopping,shop
store,shop
shop,shop
bodega am Wochenende,shop
building am Wochenende,shop
buy am Wochenende,shop
market am Wochenende,shop
purchase am Wochenende,shop
shopping am Wochenende,shop
store am Wochenende,shop
shop am Wochenende,shop
bodega Termin,shop
building Termin,shop
buy Termin,shop
market Termin,shop
purchase Termin,shop
shopping Termin,shop
store Termin,shop
shop Termin,shop
bodega nicht vergessen,shop
building nicht vergessen,shop
buy nicht vergessen,shop
market nicht vergessen,shop
purchase nicht vergessen,shop
shopping nicht vergessen,shop
store nicht vergessen,shop
shop nicht vergessen,shop
bodega nach der Arbeit,shop
building nach der Arbeit,shop
buy nach der Arbeit,shop
market nach der Arbeit,shop
purchase nach der Arbeit,shop
shopping nach der Arbeit,shop
store nach der Arbeit,shop
shop nach der Arbeit,shop
neuen bodega aktualisieren,shop
neuen building aktualisieren,shop
neuen buy aktualisieren,shop
neuen market aktualisieren,shop
neuen purchase aktualisieren,shop
neuen shopping aktualisieren,shop
neuen store aktualisieren,shop
neuen shop aktualisieren,shop
bodega für Samstag,shop
building für Samstag,shop
buy für Samstag,shop
market für Samstag,shop
purchase für Samstag,shop
shopping für Samstag,shop
store für Samstag,shop
sohpping für Samstag,shop
purhcase am Wochenende,shop
shopping am Wocheende,shop
boodega Termin,shop
pucrhase Termin,shop
