text,label
lyrics,music
melody,music
ミュージック,music
musical note,music
ノート,music
sing,music
sound,music
lyricsをオンラインで買う,music
melodyをオンラインで買う,music
ミュージックをオンラインで買う,music
musical noteをオンラインで買う,music
ノートをオンラインで買う,music
singをオンラインで買う,music
soundをオンラインで買う,music
そろそろlyrics,music
そろそろmelody,music
そろそろミュージック,music
そろそろmusical note,music
そろそろノート,music
そろそろsing,music
そろそろsound,music
lyricsを忘れないで,music
melodyを忘れないで,music
ミュージックを忘れないで,music
musical noteを忘れないで,music
ノートを忘れないで,music
singを忘れないで,music
soundを忘れないで,music
lyricsを掃除する,music
melodyを掃除する,music
ミュージックを掃除する,music
musical noteを掃除する,music
ノートを掃除する,music
singを掃除する,music
soundを掃除する,music
毎週のlyrics,music
毎週のmelody,music
毎週のミュージック,music
毎週のmusical note,music
毎週のノート,music
毎週のsing,music
毎週のsound,music
朝のlyrics,music
朝のmelody,music
朝のミュージック,music
朝のmusical note,music
朝のノート,music
朝のsing,music
朝のsound,music
週末にlyrics,music
週末にmelody,music
週末にミュージック,music
週末にmusical note,music
週末にノート,music
週末にsing,music
そろそlろyrics,music
毎週sound,music
週に末ミュージック,music
朝ののlyrics,music
sundを忘れないで,music
