text,label
electricity,bolt-lightning
flash,bolt-lightning
lightning,bolt-lightning
weather,bolt-lightning
zap,bolt-lightning
bolt,bolt-lightning
bolt lightning,bolt-lightning
electricityを終わらせる,bolt-lightning
flashを終わらせる,bolt-lightning
lightningを終わらせる,bolt-lightning
weatherを終わらせる,bolt-lightning
zapを終わらせる,bolt-lightning
boltを終わらせる,bolt-lightning
bolt lightningを終わらせる,bolt-lightning
electricityをオンラインで買う,bolt-lightning
flashをオンラインで買う,bolt-lightning
lightningをオンラインで買う,bolt-lightning
weatherをオンラインで買う,bolt-lightning
zapをオンラインで買う,bolt-lightning
boltをオンラインで買う,bolt-lightning
bolt lightningをオンラインで買う,bolt-lightning
そろそろelectricity,bolt-lightning
そろそろflash,bolt-lightning
そろそろlightning,bolt-lightning
そろそろweather,bolt-lightning
そろそろzap,bolt-lightning
そろそろbolt,bolt-lightning
そろそろbolt lightning,bolt-lightning
仕事の後にelectricity,bolt-lightning
仕事の後にflash,bolt-lightning
仕事の後にlightning,bolt-lightning
仕事の後にweather,bolt-lightning
仕事の後にzap,bolt-lightning
仕事の後にbolt,bolt-lightning
仕事の後にbolt lightning,bolt-lightning
旅行用のelectricity,bolt-lightning
旅行用のflash,bolt-lightning
旅行用のlightning,bolt-lightning
旅行用のweather,bolt-lightning
旅行用のzap,bolt-lightning
旅行用のbolt,bolt-lightning
旅行用のbolt lightning,bolt-lightning
週末にelectricity,bolt-lightning
週末にflash,bolt-lightning
週末にlightning,bolt-lightning
週末にweather,bolt-lightning
週末にzap,bolt-lightning
週末にbolt,bolt-lightning
週末にbolt lightning,bolt-lightning
electricityは今日,bolt-lightning
flashは今日,bolt-lightning
lightningは今日,bolt-lightning
weatherは今日,bolt-lightning
zapは今日,bolt-lightning
boltは今日,bolt-lightning
そろそろbotl lightning,bolt-lightning
そろそろbbolt,bolt-lightning
旅行用のwetaher,bolt-lightning
zapをわ終らせる,bolt-lightning
weathherを終わらせる,bolt-lightning
