text,label
burn,fire
caliente,fire
fire,fire
flame,fire
heat,fire
hot,fire
popular,fire
mit burn anfangen,fire
mit caliente anfangen,fire
mit fire anfangen,fire
mit flame anfangen,fire
mit heat anfangen,fire
mit hot anfangen,fire
mit popular anfangen,fire
burn am Wochenende,fire
caliente am Wochenende,fire
fire am Wochenende,fire
flame am Wochenende,fire
heat am Wochenende,fire
hot am Wochenende,fire
popular am Wochenende,fire
neuen burn packen,fire
neuen caliente packen,fire
neuen fire packen,fire
neuen flame packen,fire
neuen heat packen,fire
neuen hot packen,fire
neuen popular packen,fire
burn abends,fire
caliente abends,fire
fire abends,fire
flame abends,fire
heat abends,fire
hot abends,fire
popular abends,fire
burn für Samstag,fire
caliente für Samstag,fire
fire für Samstag,fire
flame für Samstag,fire
heat für Samstag,fire
hot für Samstag,fire
popular für Samstag,fire
burn morgens,fire
caliente morgens,fire
fire morgens,fire
flame morgens,fire
heat morgens,fire
hot morgens,fire
popular morgens,fire
burn im Laden packen,fire
caliente im Laden packen,fire
fire im Laden packen,fire
flame im Laden packen,fire
heat im Laden packen,fire
hot im Laden packen,fire
fire am Wochhenende,fire
poular für Samstag,fire
hot abennds,fire
neuenn fire packen,fire
miit popular anfangen,fire
