text,label
バドミントン,shuttlecock
birdie,shuttlecock
feather,shuttlecock
sport,shuttlecock
shuttlecock,shuttlecock
バドミントンを忘れないで,shuttlecock
birdieを忘れないで,shuttlecock
featherを忘れないで,shuttlecock
sportを忘れないで,shuttlecock
shuttlecockを忘れないで,shuttlecock
毎週のバドミントン,shuttlecock
毎週のbirdie,shuttlecock
毎週のfeather,shuttlecock
毎週のsport,shuttlecock
毎週のshuttlecock,shuttlecock
そろそろバドミントン,shuttlecock
そろそろbirdie,shuttlecock
そろそろfeather,shuttlecock
そろそろsport,shuttlecock
そろそろshuttlecock,shuttlecock
新しいバドミントンを更新する,shuttlecock
新しいbirdieを更新する,shuttlecock
新しいfeatherを更新する,shuttlecock
新しいsportを更新する,shuttlecock
新しいshuttlecockを更新する,shuttlecock
バドミントンを更新する,shuttlecock
birdieを更新する,shuttlecock
featherを更新する,shuttlecock
sportを更新する,shuttlecock
shuttlecockを更新する,shuttlecock
週末にバドミントン,shuttlecock
週末にbirdie,shuttlecock
週末にfeather,shuttlecock
週末にsport,shuttlecock
週末にshuttlecock,shuttlecock
土曜日にバドミントン,shuttlecock
土曜日にbirdie,shuttlecock
土曜日にfeather,shuttlecock
土曜日にsport,shuttlecock
土曜日にshuttlecock,shuttlecock
バドミントンの予約,shuttlecock
birdieの予約,shuttlecock
featherの予約,shuttlecock
sportの予約,shuttlecock
shuttlecockの予約,shuttlecock
子供用のバドミントン,shuttlecock
子供用のbirdie,shuttlecock
子供用のfeather,shuttlecock
子供用のsport,shuttlecock
子供用のshuttlecock,shuttlecock
仕事の後にバドミントン,shuttlecock
仕事の後にbirdie,shuttlecock
仕事の後にfeather,shuttlecock
仕事の後にsport,shuttlecock
仕事の後にshuttlecock,shuttlecock
shutttlecockの予約,shuttlecock
仕事の後にshuttleocck,shuttlecock
バドミントトンを更新する,shuttlecock
土曜日にドバミントン,shuttlecock
そろそろspport,shuttlecock
