text,label
charge,battery-bolt
power,battery-bolt
status,battery-bolt
battery,battery-bolt
bolt,battery-bolt
battery bolt,battery-bolt
planifier charge en ligne,battery-bolt
planifier power en ligne,battery-bolt
planifier status en ligne,battery-bolt
planifier battery en ligne,battery-bolt
planifier bolt en ligne,battery-bolt
planifier battery bolt en ligne,battery-bolt
charge pour le voyage,battery-bolt
power pour le voyage,battery-bolt
status pour le voyage,battery-bolt
battery pour le voyage,battery-bolt
bolt pour le voyage,battery-bolt
battery bolt pour le voyage,battery-bolt
charge le matin,battery-bolt
power le matin,battery-bolt
status le matin,battery-bolt
battery le matin,battery-bolt
bolt le matin,battery-bolt
battery bolt le matin,battery-bolt
charge aujourd'hui,battery-bolt
power aujourd'hui,battery-bolt
status aujourd'hui,battery-bolt
battery aujourd'hui,battery-bolt
bolt aujourd'hui,battery-bolt
battery bolt aujourd'hui,battery-bolt
ne pas oublier charge,battery-bolt
ne pas oublier power,battery-bolt
ne pas oublier status,battery-bolt
ne pas oublier battery,battery-bolt
ne pas oublier bolt,battery-bolt
ne pas oublier battery bolt,battery-bolt
charge pour les enfants,battery-bolt
power pour les enfants,battery-bolt
status pour les enfants,battery-bolt
battery pour les enfants,battery-bolt
bolt pour les enfants,battery-bolt
battery bolt pour les enfants,battery-bolt
charge le soir,battery-bolt
power le soir,battery-bolt
status le soir,battery-bolt
battery le soir,battery-bolt
bolt le soir,battery-bolt
battery bolt le soir,battery-bolt
planifier charge bientôt,battery-bolt
planifier power bientôt,battery-bolt
planifier status bientôt,battery-bolt
planifier battery bientôt,battery-bolt
planifier bolt bientôt,battery-bolt
planifier battery bolt bientôt,battery-bolt
charge pour samedi,battery-bolt
battry,battery-bolt
batery aujourd'hui,battery-bolt
chrge le soir,battery-bolt
plainfier bolt bientôt,battery-bolt
apprendre charge en ligne,battery-bolt
