text,label
allergy,shrimp
prawn,shrimp
shrimp,shrimp
shellfish allergy warning on menu,shrimp
shrimp allergy common food intolerance,shrimp
crustacean shrimp caught in ocean,shrimp
small crustacean with curved body,shrimp
tiger prawn on restaurant plate,shrimp
seafood platter with shrimp and crab,shrimp
fresh seafood from local harbor,shrimp
shellfish including shrimp and lobster,shrimp
shellfish on ice at fish market,shrimp
jumbo shrimp peeled and deveined,shrimp
shrimp tail pink and curled up,shrimp
breaded shrimp with visible tail,shrimp
pink curved shrimp on seafood plate,shrimp
shrimp cocktail glass with sauce,shrimp
grilled tiger prawn with herbs,shrimp
shrimp taco in corn tortilla,shrimp
butter garlic shrimp pasta dish,shrimp
shrimp on skewer at seafood BBQ,shrimp
breaded fried shrimp with dipping sauce,shrimp
raw shrimp at fish market on ice,shrimp
shrimp allergy symbol on menu,shrimp
Gulf shrimp in Cajun spice boil,shrimp
I need a shrimp icon for the seafood menu section,shrimp
add a prawn symbol to the allergen warning feature,shrimp
show a shrimp for the shellfish category,shrimp
use the shrimp icon for the seafood restaurant app,shrimp
pink curvd shrimp on seafood plate,shrimp
grillde tiger prawn with herbs,shrimp
shripm taco in corn tortilla,shrimp
butetr garlic shrimp pasta dish,shrimp
