text,label
достижение,trophy
кубок,trophy
приз,trophy
победитель,trophy
трофей достижения заработан веха,trophy
достижение разблокировано трофей,trophy
церемония награждения вручение трофея,trophy
кубок победителя вручён,trophy
золотой кубок трофей первое место,trophy
кубок трофей гравировка имени,trophy
трофей игры рекорд награда,trophy
победа в игре разблокировать трофей,trophy
приз трофей победа в соревновании,trophy
трофей денежный приз,trophy
полка с трофеями коллекция,trophy
иконка трофея значок победителя,trophy
трофей победителя пьедестал первый,trophy
победитель уносит трофей домой,trophy
золотой кубок трофей первое место победитель,trophy
спортивный трофей гравировка имени команды,trophy
трофей лучшего сотрудника месяца,trophy
игровой трофей достижение PS4,trophy
трофей Оскар кинонаграда,trophy
небольшой трофей за участие,trophy
полка трофеев достижений,trophy
трофей победителя шахматного турнира,trophy
значок-трофей достижения приложения,trophy
трофей и медаль рядом,trophy
трофей победитель награда,trophy
достижение трофей кубок,trophy
наградa трофей игра,trophy
приз трофей победитель,trophy
медаль лента награда висящая,trophy
ленточка значок честь отличие,trophy
золотая звезда рейтинг пять,trophy
корона король королева,trophy
диплом сертификат достижение,trophy
значок булавка почётная награда,trophy
achievement,trophy
award,trophy
cup,trophy
game,trophy
prize,trophy
trophy,trophy
winner,trophy
закончить achievement,trophy
закончить award,trophy
закончить cup,trophy
закончить game,trophy
закончить prize,trophy
закончить trophy,trophy
закончить winner,trophy
achievement вечером,trophy
award вечером,trophy
cup вечером,trophy
game вечером,trophy
prize вечером,trophy
trophy вечером,trophy
winner вечером,trophy
achievement на субботу,trophy
