text,label
ball,futbol
football,futbol
mls,futbol
soccer,futbol
soccer ball,futbol
futbol,futbol
mit ball anfangen,futbol
mit football anfangen,futbol
mit mls anfangen,futbol
mit soccer anfangen,futbol
mit soccer ball anfangen,futbol
mit futbol anfangen,futbol
ball für Samstag,futbol
football für Samstag,futbol
mls für Samstag,futbol
soccer für Samstag,futbol
soccer ball für Samstag,futbol
futbol für Samstag,futbol
ball morgens,futbol
football morgens,futbol
mls morgens,futbol
soccer morgens,futbol
soccer ball morgens,futbol
futbol morgens,futbol
ball abends,futbol
football abends,futbol
mls abends,futbol
soccer abends,futbol
soccer ball abends,futbol
futbol abends,futbol
ball für die Reise,futbol
football für die Reise,futbol
mls für die Reise,futbol
soccer für die Reise,futbol
soccer ball für die Reise,futbol
futbol für die Reise,futbol
ball nicht vergessen,futbol
football nicht vergessen,futbol
mls nicht vergessen,futbol
soccer nicht vergessen,futbol
soccer ball nicht vergessen,futbol
futbol nicht vergessen,futbol
ball online abholen,futbol
football online abholen,futbol
mls online abholen,futbol
soccer online abholen,futbol
soccer ball online abholen,futbol
futbol online abholen,futbol
ball bald abholen,futbol
football bald abholen,futbol
mls bald abholen,futbol
soccer bald abholen,futbol
soccer ball bald abholen,futbol
futbol bald abholen,futbol
ball abholen,futbol
foootball morgens,futbol
footbaall für Samstag,futbol
football fürr Samstag,futbol
soccer für die Reie,futbol
mls baldd abholen,futbol
