text,label
SETI,satellite-dish
antenna,satellite-dish
communications,satellite-dish
dish,satellite-dish
radar,satellite-dish
satellite,satellite-dish
satellite antenna,satellite-dish
saucer,satellite-dish
SETI array of large radio dishes,satellite-dish
dish antenna pointing at satellite,satellite-dish
large parabolic antenna dish,satellite-dish
communications dish relay station,satellite-dish
satellite communications dish on rooftop,satellite-dish
parabolic dish receiver for TV signal,satellite-dish
dish pointing at sky for reception,satellite-dish
hardware dish assembly for broadcast,satellite-dish
satellite dish hardware installation,satellite-dish
radar dish scanning for aircraft,satellite-dish
TV signal receiver dish on roof,satellite-dish
receiver dish aligned to satellite,satellite-dish
satellite dish on house exterior,satellite-dish
satellite dish for TV subscription,satellite-dish
satellite antenna farm in desert,satellite-dish
satellite antenna pointed at sky,satellite-dish
flying saucer shaped satellite dish,satellite-dish
saucer-like dish pointing at stars,satellite-dish
signal received by parabolic dish,satellite-dish
strong signal from satellite dish,satellite-dish
space communications dish array,satellite-dish
deep space network dish for exploration,satellite-dish
large radio telescope dish at observatory,satellite-dish
backyard satellite dish for TV reception,satellite-dish
rotating radar dish at weather station,satellite-dish
SETI array of dish antennas in field,satellite-dish
dish antenna receiving GPS satellite signal,satellite-dish
satellite dish installation on apartment building,satellite-dish
dish network signal loss in heavy rain,satellite-dish
military radar dish scanning horizon,satellite-dish
deep space network giant dish in desert,satellite-dish
parabolc satellite dish on rooftop,satellite-dish
large radio telescoep dish,satellite-dish
backyrad satellite dish for TV,satellite-dish
rotatng radar dish at weather station,satellite-dish
