text,label
car,engine
engine,engine
réparer le car,engine
réparer le engine,engine
car demain,engine
engine demain,engine
finir car,engine
finir engine,engine
car lundi,engine
engine lundi,engine
réparer car bientôt,engine
réparer engine bientôt,engine
car le matin,engine
engine le matin,engine
réparer car,engine
réparer engine,engine
ne pas oublier car,engine
ne pas oublier engine,engine
nouveau car,engine
nouveau engine,engine
car le soir,engine
engine le soir,engine
car pour samedi,engine
engine pour samedi,engine
car aujourd'hui,engine
engine aujourd'hui,engine
car hebdomadaire,engine
engine hebdomadaire,engine
commencer car,engine
commencer engine,engine
car pour les enfants,engine
engine pour les enfants,engine
car rendez-vous,engine
engine rendez-vous,engine
réparer car en ligne,engine
réparer engine en ligne,engine
car après le travail,engine
engine après le travail,engine
car ce week-end,engine
engine ce week-end,engine
car pour le voyage,engine
engine pour le voyage,engine
renouveler le car,engine
renouveler le engine,engine
renouveler car bientôt,engine
renouveler engine bientôt,engine
renouveler car,engine
renouveler engine,engine
renouveler car en ligne,engine
renouveler engine en ligne,engine
commander le car,engine
commander le engine,engine
commander car bientôt,engine
commander engine bientôt,engine
commander car,engine
nouveau enine,engine
enngine hebdomadaire,engine
renouveler ca bientôt,engine
engne le soir,engine
reenouveler car bientôt,engine
