text,label
конфигурация,gear
шестерня,gear
механический,gear
изменить,gear
настройки,gear
инструмент,gear
Откройте конфигурацию приложения,gear
Обновите конфигурацию системы,gear
Переключиться на пониженную передачу на велосипеде,gear
Проверьте снаряжение в машине,gear
Устранить механическую проблему,gear
Осмотр механических частей,gear
Изменить поведение приложения,gear
Изменить настройки,gear
Откройте меню настроек,gear
Измените настройки приложения,gear
Используйте правильный инструмент для работы,gear
Упакуйте инструменты для ремонта,gear
Откройте настройки приложения,gear
Настройте системные настройки,gear
Настройте параметры устройства,gear
Изменение настроек уведомлений,gear
Обновить настройки приложения,gear
Устранить механическую проблему,gear
Настройте предпочтения в приложении,gear
Настройте файл конфигурации,gear
Управление разрешениями приложения,gear
Настройте параметры дисплея,gear
Открыть настройки,gear
Изменить конфигурацию,gear
Измените настройки,gear
Меню настроек,gear
в настройках приложения,gear
настроить систему,gear
отрегулировать настройки,gear
решить механическую проблему,gear
"Используйте гаечный ключ, чтобы затянуть болт",gear
Откройте панель управления,gear
"Используйте молоток, чтобы решить проблему",gear
Отрегулируйте диск на устройстве,gear
Изменить тему приложения,gear
Используйте отвертку для ремонта,gear
