text,label
mattress,bed-bunk
siblings,bed-bunk
sleepover,bed-bunk
book lodging for the trip,bed-bunk
buy a new mattress,bed-bunk
rest after a long day,bed-bunk
siblings sharing a room,bed-bunk
get some sleep tonight,bed-bunk
kids sleepover this weekend,bed-bunk
book bunk beds at the hostel,bed-bunk
Set up bunk beds in the kids' room,bed-bunk
Reserve a bunk for the camping trip,bed-bunk
Kids sleepover with bunk beds,bed-bunk
Assemble the new bunk bed,bed-bunk
Sleep schedule for the bunk room,bed-bunk
Hostel booking for the trip,bed-bunk
Share a room with bunk beds,bed-bunk
Bedtime routine for the kids,bed-bunk
Bunk bed safety check,bed-bunk
We need bunk beds for the kids' room,bed-bunk
I always wanted bunk beds as a kid,bed-bunk
The hostel only has bunk beds available,bed-bunk
Let's set up for the sleepover tonight,bed-bunk
Book a bunk beed at the hostel,bed-bunk
Kids sleepovre this weekend,bed-bunk
Asemble the bunk bed,bed-bunk
Bunk bedds for siblings,bed-bunk
Book a hotel room for the night,bed-bunk
Sleep on the couch,bed-bunk
Set up a camping tent,bed-bunk
Book an Airbnb for the trip,bed-bunk
Take a nap on the couch,bed-bunk
Reserve a cabin for the weekend,bed-bunk
Lodging reservation for three nights,bed-bunk
Mattress topper for extra comfort,bed-bunk
Rest day after the long hike,bed-bunk
Siblings bunk bed setup in their room,bed-bunk
Sleep early before the early flight,bed-bunk
Sleepover bag packed for the weekend,bed-bunk
Travel hostel with bunk beds booked,bed-bunk
