text,label
backhand,hand
halt,hand
palm,hand
raised,hand
roshambo,hand
stop,hand
raised backhand gesture,hand
backhand of the raised hand,hand
hand gesture in the game,hand
hand in rock paper scissors game,hand
halt hand signal raised,hand
hand raised to halt traffic,hand
open palm facing forward,hand
palm of the hand raised high,hand
raised hand to ask a question,hand
hand raised in the classroom,hand
hand raised as a request,hand
request indicated by raised hand,hand
roshambo rock paper scissors hand,hand
roshambo game hand gesture,hand
stop hand signal raised,hand
hand raised to stop traffic,hand
open hand with palm facing outward,hand
raised hand to ask a question in class,hand
hand signal to halt or stop,hand
hand gesture in rock paper scissors,hand
high five hand slap celebration,hand
hand wave greeting gesture,hand
hand icon for stop or wait,hand
raised hand emoji for volunteers,hand
palm reading at the carnival,hand
hand scan for biometric authentication,hand
add a raised hand to the volunteer section,hand
rasied hand gesture,hand
hnad signal stop,hand
paml facing forward,hand
hault traffic signal,hand
Raised Hand,hand
game,hand
raised back of hand,hand
request,hand
hand,hand
weekly Raised Hand,hand
weekly backhand,hand
weekly game,hand
weekly halt,hand
weekly palm,hand
weekly raised,hand
weekly raised back of hand,hand
weekly request,hand
weekly roshambo,hand
weekly stop,hand
weekly hand,hand
Raised Hand today,hand
backhand today,hand
game today,hand
halt today,hand
palm today,hand
raised today,hand
raised back of hand today,hand
