text,label
fruit,pear
pear,pear
fruit im Laden mitnehmen,pear
pear im Laden mitnehmen,pear
fruit nach der Arbeit,pear
pear nach der Arbeit,pear
wöchentlich fruit,pear
wöchentlich pear,pear
fruit morgens,pear
pear morgens,pear
fruit am Wochenende,pear
pear am Wochenende,pear
fruit erledigen,pear
pear erledigen,pear
fruit nicht vergessen,pear
pear nicht vergessen,pear
mit fruit anfangen,pear
mit pear anfangen,pear
fruit für Samstag,pear
pear für Samstag,pear
fruit mitnehmen,pear
pear mitnehmen,pear
fruit Termin,pear
pear Termin,pear
fruit heute,pear
pear heute,pear
fruit für die Reise,pear
pear für die Reise,pear
neuen fruit mitnehmen,pear
neuen pear mitnehmen,pear
fruit für die Kinder,pear
pear für die Kinder,pear
fruit online mitnehmen,pear
pear online mitnehmen,pear
fruit abends,pear
pear abends,pear
fruit am Montag,pear
pear am Montag,pear
fruit bald mitnehmen,pear
pear bald mitnehmen,pear
fruit morgen,pear
pear morgen,pear
fruit im Laden aufräumen,pear
pear im Laden aufräumen,pear
fruit aufräumen,pear
pear aufräumen,pear
neuen fruit aufräumen,pear
neuen pear aufräumen,pear
fruit online aufräumen,pear
pear online aufräumen,pear
fruit bald aufräumen,pear
pear bald aufräumen,pear
fruit im Laden erneuern,pear
pear im Laden erneuern,pear
fruit erneuern,pear
fruit onlline aufräumen,pear
fruit abens,pear
fruit online mitneehmen,pear
fuit erneuern,pear
fruit für die Rese,pear
