text,label
mammal,raccoon
mask,raccoon
panda,raccoon
paw,raccoon
raccoon,raccoon
tail,raccoon
trash,raccoon
mammal für die Kinder,raccoon
mask für die Kinder,raccoon
panda für die Kinder,raccoon
paw für die Kinder,raccoon
raccoon für die Kinder,raccoon
tail für die Kinder,raccoon
trash für die Kinder,raccoon
mit mammal anfangen,raccoon
mit mask anfangen,raccoon
mit panda anfangen,raccoon
mit paw anfangen,raccoon
mit raccoon anfangen,raccoon
mit tail anfangen,raccoon
mit trash anfangen,raccoon
mammal für die Reise,raccoon
mask für die Reise,raccoon
panda für die Reise,raccoon
paw für die Reise,raccoon
raccoon für die Reise,raccoon
tail für die Reise,raccoon
trash für die Reise,raccoon
mammal nach der Arbeit,raccoon
mask nach der Arbeit,raccoon
panda nach der Arbeit,raccoon
paw nach der Arbeit,raccoon
raccoon nach der Arbeit,raccoon
tail nach der Arbeit,raccoon
trash nach der Arbeit,raccoon
mammal morgens,raccoon
mask morgens,raccoon
panda morgens,raccoon
paw morgens,raccoon
raccoon morgens,raccoon
tail morgens,raccoon
trash morgens,raccoon
mammal abends,raccoon
mask abends,raccoon
panda abends,raccoon
paw abends,raccoon
raccoon abends,raccoon
tail abends,raccoon
trash abends,raccoon
mammal bald einrichten,raccoon
mask bald einrichten,raccoon
panda bald einrichten,raccoon
paw bald einrichten,raccoon
raccoon bald einrichten,raccoon
tail bald einrichten,raccoon
panda für diee Reise,raccoon
raccoon bald enirichten,raccoon
mammla,raccoon
tail für die Knder,raccoon
mammal heute,raccoon
