text,label
светлее,sun-cloud
солнце-исп,sun-cloud
солнечный,sun-cloud
солнце за маленьким облаком,sun-cloud
облако частично закрывает солнце,sun-cloud
тонкое облако над солнечным небом,sun-cloud
переменная облачность погода,sun-cloud
день с рассеянными облаками,sun-cloud
режим экрана ярче при облачности,sun-cloud
настройка яркости облачный день,sun-cloud
испанское sol за облаком погода,sun-cloud
испанский символ sol пасмурный,sun-cloud
солнечная энергия снижена облаками,sun-cloud
облако мешает солнечным панелям,sun-cloud
звезда за туманностью в космосе,sun-cloud
звезда частично скрыта облаком,sun-cloud
солнце пробивается сквозь облака,sun-cloud
солнце за белым облаком,sun-cloud
символ солнца за маленьким облаком,sun-cloud
частично облачная иконка солнца,sun-cloud
символ переменной облачности погода,sun-cloud
прогноз переменная облачность,sun-cloud
солнце частично скрыто белым облаком,sun-cloud
иконка переменной облачности,sun-cloud
утреннее облако и дневное просветление,sun-cloud
символ переменной облачности в приложении погоды,sun-cloud
солнечная радиация снижена облачным покровом,sun-cloud
пасмурно но яркость всё ещё видна,sun-cloud
облако проходит перед солнцем,sun-cloud
пикник на природе переменная облачность,sun-cloud
УФ-предупреждение даже в облачный день,sun-cloud
пляжный день с облаками солнце ещё греет,sun-cloud
переменнная облачность,sun-cloud
солнце за облаком погда,sun-cloud
облачный день солнце,sun-cloud
погода переменная,sun-cloud
полное солнце чистое голубое небо без облаков,sun-cloud
дождевое облако сильный ливень,sun-cloud
грозовое облако молния,sun-cloud
туман низкая видимость погода,sun-cloud
снеговое облако зимние осадки,sun-cloud
облако с ветром порывы иконка погоды,sun-cloud
cloud,sun-cloud
day,sun-cloud
lighter,sun-cloud
sol,sun-cloud
solar,sun-cloud
star,sun-cloud
sun,sun-cloud
sun behind small cloud,sun-cloud
weather,sun-cloud
sun cloud,sun-cloud
cloud в понедельник,sun-cloud
day в понедельник,sun-cloud
lighter в понедельник,sun-cloud
sol в понедельник,sun-cloud
solar в понедельник,sun-cloud
star в понедельник,sun-cloud
sun в понедельник,sun-cloud
sun behind small cloud в понедельник,sun-cloud
