text,label
cob,corn
ear,corn
kernel,corn
maize,corn
popcorn,corn
corn cob grilled at the summer barbecue,corn
cob of corn boiled and buttered,corn
fresh corn harvested from the stalk,corn
corn on the cob at the county fair,corn
ear of corn pulled back to reveal kernels,corn
ear detached from the stalk at harvest,corn
fall harvest corn displayed as decoration,corn
fall cornucopia with corn and gourds,corn
grain corn dried and stored in the silo,corn
grain crop field stretching to the horizon,corn
golden kernel popped on a hot pan,corn
kernel by kernel corn removed from the cob,corn
maize cultivated by indigenous farmers,corn
maize flour ground for tortillas,corn
popcorn kernels exploding in the microwave,corn
buttered popcorn in a bag at the movie theater,corn
yellow corn cob with rows of golden kernels,corn
corn on the cob with a green husk pulled back,corn
field corn growing tall in the summer heat,corn
corn icon for a recipe or harvest app,corn
buttered corn cob at a summer cookout,corn
dried corn hanging in the barn for fall,corn
corn maze attraction at the pumpkin patch,corn
popcorn made from dried corn kernels,corn
maize crop harvested with a combine,corn
sweet corn boiled and served at the picnic,corn
yellow crn cob buttered at the cookout,corn
popcron kernels popped in the microwave,corn
corn kerenel removed from the cob,corn
mazie crop harvested in the fall,corn
corn,corn
ear of corn,corn
fall,corn
grain,corn
maze,corn
return cob soon,corn
return corn soon,corn
return ear soon,corn
return ear of corn soon,corn
return fall soon,corn
return grain soon,corn
return kernel soon,corn
return maize soon,corn
return maze soon,corn
return popcorn soon,corn
morning cob,corn
morning corn,corn
morning ear,corn
morning ear of corn,corn
morning fall,corn
morning grain,corn
morning kernel,corn
morning maize,corn
morning maze,corn
morning popcorn,corn
