text,label
искусство,hammer-brush
исправить,hammer-brush
молоток,hammer-brush
техническое обслуживание,hammer-brush
краска,hammer-brush
переделывать,hammer-brush
ремонт,hammer-brush
инструмент,hammer-brush
Используйте художественные инструменты для проекта,hammer-brush
Создавайте произведения искусства с помощью инструментов,hammer-brush
Починить и покрасить стену,hammer-brush
Закрепите поверхность перед покраской,hammer-brush
Используйте молоток для подготовки поверхности,hammer-brush
Забить торчащие гвозди перед покраской,hammer-brush
Проводите регулярный уход за домом,hammer-brush
Планирование обслуживания дома,hammer-brush
Покрасьте стены гостиной,hammer-brush
Нанесите свежий слой краски,hammer-brush
Переделать кухню,hammer-brush
Спланируйте ремонт ванной комнаты,hammer-brush
Отремонтировать и перекрасить забор,hammer-brush
Отремонтировать поврежденную стену,hammer-brush
Подберите правильный инструмент для рисования.,hammer-brush
Купите подходящие инструменты для проекта,hammer-brush
Отремонтировать гостиную,hammer-brush
Покрасьте стены и отремонтируйте отделку,hammer-brush
Подкрасить краску в коридоре,hammer-brush
Устраните трещины и перекрасьте стену,hammer-brush
Наймите мастера для ремонта,hammer-brush
Переделать ванную комнату,hammer-brush
Дом Рено,hammer-brush
Исправить и покрасить,hammer-brush
проект своими руками,hammer-brush
Время разнорабочего,hammer-brush
отремонтировать гостиную,hammer-brush
покрасить стены,hammer-brush
починить и перекрасить забор,hammer-brush
проект улучшения дома,hammer-brush
Для забивания гвоздей используйте только молоток,hammer-brush
Для рисования используйте только кисть,hammer-brush
Нанять сантехника для ремонта труб,hammer-brush
"Используйте отвертку, чтобы закрепить винты",hammer-brush
Подметать пол метлой,hammer-brush
Используйте валик для покраски потолка,hammer-brush
