text,label
avocado,avocado
food,avocado
fruit,avocado
green,avocado
guacamole,avocado
hass,avocado
pit,avocado
月曜日にavocado,avocado
月曜日にfood,avocado
月曜日にfruit,avocado
月曜日にgreen,avocado
月曜日にguacamole,avocado
月曜日にhass,avocado
月曜日にpit,avocado
avocadoの予約,avocado
foodの予約,avocado
fruitの予約,avocado
greenの予約,avocado
guacamoleの予約,avocado
hassの予約,avocado
pitの予約,avocado
旅行用のavocado,avocado
旅行用のfood,avocado
旅行用のfruit,avocado
旅行用のgreen,avocado
旅行用のguacamole,avocado
旅行用のhass,avocado
旅行用のpit,avocado
avocadoは今日,avocado
foodは今日,avocado
fruitは今日,avocado
greenは今日,avocado
guacamoleは今日,avocado
hassは今日,avocado
pitは今日,avocado
avocadoを忘れないで,avocado
foodを忘れないで,avocado
fruitを忘れないで,avocado
greenを忘れないで,avocado
guacamoleを忘れないで,avocado
hassを忘れないで,avocado
pitを忘れないで,avocado
仕事の後にavocado,avocado
仕事の後にfood,avocado
仕事の後にfruit,avocado
仕事の後にgreen,avocado
仕事の後にguacamole,avocado
仕事の後にhass,avocado
仕事の後にpit,avocado
新しいavocadoを準備する,avocado
新しいfoodを準備する,avocado
新しいfruitを準備する,avocado
新しいgreenを準備する,avocado
新しいguacamoleを準備する,avocado
新しいhassを準備する,avocado
新しいfoodをを準備する,avocado
fooodの予約,avocado
旅行用のavoocado,avocado
月曜日にfod,avocado
そろそろavocado,avocado
