text,label
alley,bowling-ball
candlepin,bowling-ball
gutter,bowling-ball
lane,bowling-ball
strike,bowling-ball
tenpin,bowling-ball
ボウリング,bowling-ball
ボール,bowling-ball
bowling ball,bowling-ball
alleyは今日,bowling-ball
candlepinは今日,bowling-ball
gutterは今日,bowling-ball
laneは今日,bowling-ball
strikeは今日,bowling-ball
tenpinは今日,bowling-ball
ボウリングは今日,bowling-ball
ボールは今日,bowling-ball
bowling ballは今日,bowling-ball
新しいalleyを片付ける,bowling-ball
新しいcandlepinを片付ける,bowling-ball
新しいgutterを片付ける,bowling-ball
新しいlaneを片付ける,bowling-ball
新しいstrikeを片付ける,bowling-ball
新しいtenpinを片付ける,bowling-ball
新しいボウリングを片付ける,bowling-ball
新しいボールを片付ける,bowling-ball
新しいbowling ballを片付ける,bowling-ball
夜のalley,bowling-ball
夜のcandlepin,bowling-ball
夜のgutter,bowling-ball
夜のlane,bowling-ball
夜のstrike,bowling-ball
夜のtenpin,bowling-ball
夜のボウリング,bowling-ball
夜のボール,bowling-ball
夜のbowling ball,bowling-ball
仕事の後にalley,bowling-ball
仕事の後にcandlepin,bowling-ball
仕事の後にgutter,bowling-ball
仕事の後にlane,bowling-ball
仕事の後にstrike,bowling-ball
仕事の後にtenpin,bowling-ball
仕事の後にボウリング,bowling-ball
仕事の後にボール,bowling-ball
仕事の後にbowling ball,bowling-ball
alleyを終わらせる,bowling-ball
candlepinを終わらせる,bowling-ball
gutterを終わらせる,bowling-ball
laneを終わらせる,bowling-ball
strikeを終わらせる,bowling-ball
tenpinを終わらせる,bowling-ball
ボウリングを終わらせる,bowling-ball
ボールを終わらせる,bowling-ball
bowling ballを終わらせる,bowling-ball
alleyを片付ける,bowling-ball
guterは今日,bowling-ball
新しいボールを片け付る,bowling-ball
bowling ballを終わせる,bowling-ball
tenpin今日,bowling-ball
srikeは今日,bowling-ball
