text,label
Muslim,mosque
building,mosque
islam,mosque
landmark,mosque
mosque,mosque
religion,mosque
Muslim ce week-end,mosque
building ce week-end,mosque
islam ce week-end,mosque
landmark ce week-end,mosque
mosque ce week-end,mosque
religion ce week-end,mosque
Muslim aujourd'hui,mosque
building aujourd'hui,mosque
islam aujourd'hui,mosque
landmark aujourd'hui,mosque
mosque aujourd'hui,mosque
religion aujourd'hui,mosque
emballer Muslim,mosque
emballer building,mosque
emballer islam,mosque
emballer landmark,mosque
emballer mosque,mosque
préparer muslim,mosque
emballer religion,mosque
Muslim le soir,mosque
building le soir,mosque
islam le soir,mosque
landmark le soir,mosque
mosque le soir,mosque
religion le soir,mosque
Muslim pour le voyage,mosque
building pour le voyage,mosque
islam pour le voyage,mosque
landmark pour le voyage,mosque
mosque pour le voyage,mosque
religion pour le voyage,mosque
finir Muslim,mosque
finir building,mosque
finir islam,mosque
finir landmark,mosque
finir mosque,mosque
finir religion,mosque
Muslim hebdomadaire,mosque
building hebdomadaire,mosque
islam hebdomadaire,mosque
landmark hebdomadaire,mosque
mosque hebdomadaire,mosque
religion hebdomadaire,mosque
commencer Muslim,mosque
commencer building,mosque
commencer islam,mosque
commencer landmark,mosque
commencer mosque,mosque
commencer religion,mosque
isam ce week-end,mosque
builing le soir,mosque
religion pour le voayge,mosque
ilam le soir,mosque
commencer rleigion,mosque
