text,label
drill,oil-well
oil,oil-well
rig,oil-well
well,oil-well
oil well,oil-well
mit drill anfangen,oil-well
mit oil anfangen,oil-well
mit rig anfangen,oil-well
mit well anfangen,oil-well
mit oil well anfangen,oil-well
drill für die Kinder,oil-well
oil für die Kinder,oil-well
rig für die Kinder,oil-well
well für die Kinder,oil-well
oil well für die Kinder,oil-well
drill nicht vergessen,oil-well
oil nicht vergessen,oil-well
rig nicht vergessen,oil-well
well nicht vergessen,oil-well
oil well nicht vergessen,oil-well
drill am Wochenende,oil-well
oil am Wochenende,oil-well
rig am Wochenende,oil-well
well am Wochenende,oil-well
oil well am Wochenende,oil-well
drill für die Reise,oil-well
oil für die Reise,oil-well
rig für die Reise,oil-well
well für die Reise,oil-well
oil well für die Reise,oil-well
drill nach der Arbeit,oil-well
oil nach der Arbeit,oil-well
rig nach der Arbeit,oil-well
well nach der Arbeit,oil-well
oil well nach der Arbeit,oil-well
drill im Laden suchen,oil-well
oil im Laden suchen,oil-well
rig im Laden suchen,oil-well
well im Laden suchen,oil-well
oil well im Laden suchen,oil-well
drill bald suchen,oil-well
oil bald suchen,oil-well
rig bald suchen,oil-well
well bald suchen,oil-well
oil well bald suchen,oil-well
drill morgens,oil-well
oil morgens,oil-well
rig morgens,oil-well
well morgens,oil-well
oil well morgens,oil-well
drill abends,oil-well
oil abends,oil-well
rig abends,oil-well
well abends,oil-well
oil well abends,oil-well
well für dei Kinder,oil-well
oil für die Kindeer,oil-well
rig für diee Reise,oil-well
well am Wochennede,oil-well
dill nach der Arbeit,oil-well
