text,label
plaything,teddy-bear
plush,teddy-bear
stuffed,teddy-bear
teddy bear,teddy-bear
toy,teddy-bear
plaything for children teddy bear,teddy-bear
kid plaything stuffed animal,teddy-bear
plush bear soft stuffed,teddy-bear
plush toy huggable animal,teddy-bear
stuffed animal bear shelf,teddy-bear
stuffed bear child gift,teddy-bear
teddy bear comfort cuddle,teddy-bear
classic teddy bear childhood,teddy-bear
toy bear plush childhood,teddy-bear
toy store teddy bear display,teddy-bear
classic brown stuffed teddy bear,teddy-bear
child hugging favorite teddy bear,teddy-bear
vintage collector teddy bear antique,teddy-bear
teddy bear in backpack strap,teddy-bear
oversized giant teddy bear gift,teddy-bear
bedtime teddy bear comfort object,teddy-bear
hospital teddy bear donation charity,teddy-bear
handmade knitted teddy bear craft,teddy-bear
teddy bear hospital repair torn seam,teddy-bear
baby shower teddy bear decoration,teddy-bear
I need a teddy bear icon for the kids section,teddy-bear
add a stuffed animal symbol to the toys category,teddy-bear
show a teddy bear for the children's gift feature,teddy-bear
use the teddy bear icon for the comfort objects section,teddy-bear
teddy bera stuffed,teddy-bear
plsuh bear toy,teddy-bear
stufffed animal bear,teddy-bear
childs teddy ber,teddy-bear
