text,label
beaker,flask
chemicals,flask
experiment,flask
experimental,flask
knowledge,flask
labs,flask
liquid,flask
potion,flask
science,flask
vial,flask
flask,flask
beaker le matin,flask
chemicals le matin,flask
experiment le matin,flask
experimental le matin,flask
knowledge le matin,flask
labs le matin,flask
liquid le matin,flask
potion le matin,flask
science le matin,flask
vial le matin,flask
flask le matin,flask
beaker pour les enfants,flask
chemicals pour les enfants,flask
experiment pour les enfants,flask
experimental pour les enfants,flask
knowledge pour les enfants,flask
labs pour les enfants,flask
liquid pour les enfants,flask
potion pour les enfants,flask
science pour les enfants,flask
vial pour les enfants,flask
flask pour les enfants,flask
beaker ce week-end,flask
chemicals ce week-end,flask
experiment ce week-end,flask
experimental ce week-end,flask
knowledge ce week-end,flask
labs ce week-end,flask
liquid ce week-end,flask
potion ce week-end,flask
science ce week-end,flask
vial ce week-end,flask
flask ce week-end,flask
finir beaker,flask
finir chemicals,flask
finir experiment,flask
finir experimental,flask
finir knowledge,flask
finir labs,flask
finir liquid,flask
finir potion,flask
finir science,flask
finir vial,flask
finir flask,flask
liquidd pour les enfants,flask
experriment pour les enfants,flask
finir expriment,flask
poiton,flask
expermiental le matin,flask
