text,label
бухгалтерия,receipt
учёт,receipt
чек,receipt
купон,receipt
доказательство,receipt
счёт-фактура,receipt
подтверждение,receipt
квитанция,receipt
таблица,receipt
бухгалтерская книга с записями чеков,receipt
бухгалтерский документ для учёта расходов,receipt
бухгалтерские записи на квитанции,receipt
запись транзакций для учёта,receipt
счёт к оплате за столиком ресторана,receipt
попросить счёт в конце ужина,receipt
скидочный купон прикреплён к чеку,receipt
код купона напечатан на квитанции,receipt
доказательство покупки на бумажном чеке,receipt
квитанция как юридическое доказательство сделки,receipt
счёт-фактура для деловых расходов,receipt
итоговая сумма на распечатанном счёте,receipt
потраченные деньги в перечне на чеке,receipt
денежная транзакция подтверждена квитанцией,receipt
оплата на кассе и получение чека,receipt
оплатить и получить бумажный чек,receipt
подтверждение покупки на магазинном чеке,receipt
подтверждение оплаты для гарантийной претензии,receipt
бумажный чек с детальным перечнем,receipt
квитанция с кассы магазина,receipt
таблица товаров на квитанции,receipt
таблица покупок на чеке,receipt
бумажный чек с детальным перечнем покупок,receipt
длинный чек из продуктового магазина,receipt
электронный чек отправлен после онлайн-покупки,receipt
счёт ресторана с промежуточным итогом и строкой чаевых,receipt
термочек с кассового POS-терминала,receipt
"чек с датой, временем и итоговой суммой",receipt
квитанция о расходах для возмещения,receipt
счёт-фактура для целей НДС,receipt
чек скручивается после печати на кассе,receipt
политика возврата напечатана внизу чека,receipt
бумажный чкек с перечнем покупок,receipt
счёт ресторна со строкой чаевых,receipt
квитация с кассы магазина,receipt
итоговая сума на распечатанном счёте,receipt
выписка кредитной карты с ежемесячными транзакциями,receipt
банковский чек для оплаты счёта,receipt
таблица с категориями расходов и итогами,receipt
кассовый аппарат показывает сумму продажи,receipt
штрихкод на упаковке товара для сканирования,receipt
налоговая декларация с полями дохода,receipt
accounting,receipt
bookkeeping,receipt
check,receipt
coupon,receipt
evidence,receipt
invoice,receipt
money,receipt
pay,receipt
proof,receipt
