text,label
cleaning,vacuum-robot
floor,vacuum-robot
roomba,vacuum-robot
suck,vacuum-robot
suction,vacuum-robot
vacuum,vacuum-robot
robot,vacuum-robot
vacuum robot,vacuum-robot
finir cleaning,vacuum-robot
finir floor,vacuum-robot
finir roomba,vacuum-robot
finir suck,vacuum-robot
finir suction,vacuum-robot
finir vacuum,vacuum-robot
finir robot,vacuum-robot
finir vacuum robot,vacuum-robot
cleaning ce week-end,vacuum-robot
floor ce week-end,vacuum-robot
roomba ce week-end,vacuum-robot
suck ce week-end,vacuum-robot
suction ce week-end,vacuum-robot
vacuum ce week-end,vacuum-robot
robot ce week-end,vacuum-robot
vacuum robot ce week-end,vacuum-robot
cleaning lundi,vacuum-robot
floor lundi,vacuum-robot
roomba lundi,vacuum-robot
suck lundi,vacuum-robot
suction lundi,vacuum-robot
vacuum lundi,vacuum-robot
robot lundi,vacuum-robot
vacuum robot lundi,vacuum-robot
cleaning pour samedi,vacuum-robot
floor pour samedi,vacuum-robot
roomba pour samedi,vacuum-robot
suck pour samedi,vacuum-robot
suction pour samedi,vacuum-robot
vacuum pour samedi,vacuum-robot
robot pour samedi,vacuum-robot
vacuum robot pour samedi,vacuum-robot
cleaning le matin,vacuum-robot
floor le matin,vacuum-robot
roomba le matin,vacuum-robot
suck le matin,vacuum-robot
suction le matin,vacuum-robot
vacuum le matin,vacuum-robot
robot le matin,vacuum-robot
vacuum robot le matin,vacuum-robot
acheter cleaning en ligne,vacuum-robot
acheter floor en ligne,vacuum-robot
acheter roomba en ligne,vacuum-robot
acheter suck en ligne,vacuum-robot
acheter suction en ligne,vacuum-robot
acheter vacuum en ligne,vacuum-robot
acheter robot en ligne,vacuum-robot
suctoin lundi,vacuum-robot
vacumu ce week-end,vacuum-robot
floor ce wek-end,vacuum-robot
acheter rbot en ligne,vacuum-robot
roboot lundi,vacuum-robot
