text,label
книга,books
книги,books
дневник,books
документация,books
журнал,books
знание,books
библиотека,books
читать,books
исследовать,books
ученый,books
стопка книг на читательском столе,books
книги аккуратно разложены на полке,books
стопка книг для курса,books
книги из коллекции библиотеки,books
дневник и журнальные книги вместе,books
"книги, включая личный дневник",books
книги документации для разработчика,books
технические книги по документации API,books
книги академического журнала на полке,books
исследовательские журналы в библиотеке,books
"книги, наполненные знаниями",books
"знания, полученные от чтения книг",books
"библиотечная полка, полная книг",books
"библиотечные книги, которые можно взять напрокат",books
прочитать несколько книг в этом месяце,books
"книги, которые стоит прочитать на выходных",books
научные книги для диссертации,books
"книги, используемые в научных исследованиях",books
ученый в окружении стопок книг,books
научные книги для академического изучения,books
"несколько книг, сложенных на столе для чтения",books
красочный ряд книг на полке библиотеки,books
Студент окружен стопками учебников,books
стопка книг готова к курсу,books
книги разных жанров на тумбочке,books
академические книги для диссертационных исследований,books
каталог библиотеки для просмотра книжных коллекций,books
книги о финансах и самосовершенствовании,books
три книги в кожаном переплете подряд,books
чтение нескольких книг одновременно,books
добавить стопку книг в раздел библиотеки,books
показать книги по категории «База знаний»,books
используйте значок книг для страницы учебной программы,books
стопка книг на столе,books
"библиотеки, книги, которые можно взять напрокат",books
научные книги для изучения,books
отдельная книга в твердом переплете с декоративной обложкой,books
кожаная закладка с кисточкой в ​​романе,books
"встроенная книжная полка, занимающая всю стену",books
открытая книга с широко раздвинутыми страницами,books
"устройство для чтения электронных книг, загруженное цифровыми книгами",books
древний свиток с сургучной печатью,books
book,books
books,books
diary,books
documentation,books
journal,books
knowledge,books
library,books
read,books
