text,label
broom,broom
firebolt,broom
nimbus 2000,broom
quidditch,broom
sweep,broom
sweeping,broom
sweep with the broom,broom
clean the house today,broom
cleaning day this Saturday,broom
Firebolt broom for Harry Potter theme,broom
fly on a broomstick costume,broom
witch on broom decoration for Halloween,broom
Nimbus 2000 costume prop,broom
quidditch match viewing party,broom
sweep the floor,broom
sweeping the porch,broom
witch with broom costume,broom
Sweep the kitchen floor,broom
Clean the house top to bottom,broom
Buy a new broom for the hallway,broom
Sweep the front porch,broom
Cleaning day — start with the floors,broom
Halloween broom decoration,broom
Witch costume with broom,broom
Sweep up after the party,broom
Broom closet organization,broom
Deep clean the floors this weekend,broom
The floor is a mess — need to sweep,broom
Let's do a proper clean this weekend,broom
My broom is worn out — need a new one,broom
Halloween decorations need a witch and broom,broom
Seeep the kitchn flor,broom
Clen the hous top to bttom,broom
Buy a new brom for the hallwey,broom
Witch costum with brom,broom
New broom for the kitchen and hallway,broom
Spring clean the whole house this week,broom
Saturday morning cleaning session,broom
Firebolt replica on display in the room,broom
Witch flying on a broom costume idea,broom
Halloween broom decoration done,broom
Nimbus 2000 prop for the HP party,broom
Quidditch costume accessories list,broom
Sweep the leaves from the garden path,broom
Sweeping up after the renovation work,broom
Witch's broom prop for the stage show,broom
