text,label
bathroom,sink
covid-19,sink
faucet,sink
kitchen,sink
wash,sink
sink,sink
明日bathroom,sink
明日covid-19,sink
明日faucet,sink
明日kitchen,sink
明日wash,sink
明日sink,sink
子供用のbathroom,sink
子供用のcovid-19,sink
子供用のfaucet,sink
子供用のkitchen,sink
子供用のwash,sink
子供用のsink,sink
bathroomを始める,sink
covid-19を始める,sink
faucetを始める,sink
kitchenを始める,sink
washを始める,sink
sinkを始める,sink
毎週のbathroom,sink
毎週のcovid-19,sink
毎週のfaucet,sink
毎週のkitchen,sink
毎週のwash,sink
毎週のsink,sink
bathroomは今日,sink
covid-19は今日,sink
faucetは今日,sink
kitchenは今日,sink
washは今日,sink
sinkは今日,sink
月曜日にbathroom,sink
月曜日にcovid-19,sink
月曜日にfaucet,sink
月曜日にkitchen,sink
月曜日にwash,sink
月曜日にsink,sink
週末にbathroom,sink
週末にcovid-19,sink
週末にfaucet,sink
週末にkitchen,sink
週末にwash,sink
週末にsink,sink
仕事の後にbathroom,sink
仕事の後にcovid-19,sink
仕事の後にfaucet,sink
仕事の後にkitchen,sink
仕事の後にwash,sink
仕事の後にsink,sink
新しいbathroomを手配する,sink
kitchneを始める,sink
faucteは今日,sink
cvid-19は今日,sink
子供用のsnk,sink
子供用のkitchhen,sink
