text,label
Left Hand Telephone Receiver,phone
call,phone
earphone,phone
number,phone
フォン,phone
receiver,phone
support,phone
talking,phone
telephone,phone
telephone receiver,phone
voice,phone
仕事の後にLeft Hand Telephone Receiver,phone
仕事の後にcall,phone
仕事の後にearphone,phone
仕事の後にnumber,phone
仕事の後にフォン,phone
仕事の後にreceiver,phone
仕事の後にsupport,phone
仕事の後にtalking,phone
仕事の後にtelephone,phone
仕事の後にtelephone receiver,phone
仕事の後にvoice,phone
Left Hand Telephone Receiverを忘れないで,phone
callを忘れないで,phone
earphoneを忘れないで,phone
numberを忘れないで,phone
フォンを忘れないで,phone
receiverを忘れないで,phone
supportを忘れないで,phone
talkingを忘れないで,phone
telephoneを忘れないで,phone
telephone receiverを忘れないで,phone
voiceを忘れないで,phone
夜のLeft Hand Telephone Receiver,phone
夜のcall,phone
夜のearphone,phone
夜のnumber,phone
夜のフォン,phone
夜のreceiver,phone
夜のsupport,phone
夜のtalking,phone
夜のtelephone,phone
夜のtelephone receiver,phone
夜のvoice,phone
土曜日にLeft Hand Telephone Receiver,phone
土曜日にcall,phone
土曜日にearphone,phone
土曜日にnumber,phone
土曜日にフォン,phone
土曜日にreceiver,phone
土曜日にsupport,phone
土曜日にtalking,phone
土曜日にtelephone,phone
土曜日にtelephone receiver,phone
土曜日にvoice,phone
土曜日にnubmer,phone
talkng,phone
telpehone,phone
土日曜にreceiver,phone
土曜日日にearphone,phone
