text,label
hose reel,hose-reel
roll up the garden hose,hose-reel
coil the hose on the reel,hose-reel
buy a hose reel for the yard,hose-reel
connect the hose to the tap,hose-reel
water the garden with the hose,hose-reel
retractable hose reel,hose-reel
pull out the garden hose,hose-reel
put the hose back on the reel,hose-reel
organize the hose after watering,hose-reel
wash the car with the hose,hose-reel
unroll the fire hose,hose-reel
check the fire hose reel,hose-reel
fire safety hose reel,hose-reel
outdoor hose storage,hose-reel
garden hose mounted on the wall,hose-reel
rewind the hose after use,hose-reel
turn on the hose for the plants,hose-reel
spray the driveway with the hose,hose-reel
replace the leaking hose,hose-reel
extend the hose across the lawn,hose-reel
garden hose by the shed,hose-reel
rewind the irrigation hose,hose-reel
outdoor watering hose,hose-reel
hose reel near the garage,hose-reel
fire hose by the stairwell,hose-reel
wash down the patio,hose-reel
store the hose neatly,hose-reel
wall mounted hose reel,hose-reel
hose reel for the backyard,hose-reel
water the flower beds,hose-reel
spray the garden path,hose-reel
unwind the hose to reach the trees,hose-reel
hook the hose back in place,hose-reel
turn the reel handle,hose-reel
outdoor hose setup,hose-reel
irrigation hose in the yard,hose-reel
emergency fire hose cabinet,hose-reel
garden watering setup,hose-reel
hose line for the sprinkler,hose-reel
long hose across the lawn,hose-reel
wind up the hose before sunset,hose-reel
yard cleanup with the hose,hose-reel
fire hose safety equipment,hose-reel
reel the hose back in,hose-reel
fire,hose-reel
irrigation,hose-reel
water,hose-reel
hose,hose-reel
reel,hose-reel
fire today,hose-reel
irrigation today,hose-reel
water today,hose-reel
hose today,hose-reel
reel today,hose-reel
hose reel today,hose-reel
fire after work,hose-reel
irrigation after work,hose-reel
water after work,hose-reel
hose after work,hose-reel
