text,label
beetle,bug
error,bug
glitch,bug
insect,bug
repair,bug
report,bug
bug,bug
beetle lundi,bug
error lundi,bug
glitch lundi,bug
insect lundi,bug
repair lundi,bug
report lundi,bug
bug lundi,bug
beetle le matin,bug
error le matin,bug
glitch le matin,bug
insect le matin,bug
repair le matin,bug
report le matin,bug
bug le matin,bug
beetle aujourd'hui,bug
error aujourd'hui,bug
glitch aujourd'hui,bug
insect aujourd'hui,bug
repair aujourd'hui,bug
report aujourd'hui,bug
bug aujourd'hui,bug
beetle pour le voyage,bug
error pour le voyage,bug
glitch pour le voyage,bug
insect pour le voyage,bug
repair pour le voyage,bug
report pour le voyage,bug
bug pour le voyage,bug
beetle le soir,bug
error le soir,bug
glitch le soir,bug
insect le soir,bug
repair le soir,bug
report le soir,bug
bug le soir,bug
pratiquer beetle,bug
pratiquer error,bug
pratiquer glitch,bug
pratiquer insect,bug
pratiquer repair,bug
pratiquer report,bug
pratiquer bug,bug
pratiquer beetle bientôt,bug
pratiquer error bientôt,bug
pratiquer glitch bientôt,bug
pratiquer insect bientôt,bug
pratiquer repair bientôt,bug
pratiquer report bientôt,bug
repport pour le voyage,bug
beetle ajourd'hui,bug
gliitch pour le voyage,bug
beeetle,bug
bug aujurd'hui,bug
