text,label
honor,award
praise,award
prize,award
recognition,award
ribbon,award
warranty,award
product guarantee seal,award
money-back guarantee badge,award
honor ribbon for top student,award
highest honor award ceremony,award
team praise recognition badge,award
praise for outstanding work,award
first prize ribbon at the fair,award
grand prize winner badge,award
employee recognition award,award
recognition badge for outstanding work,award
blue ribbon award for first place,award
ribbon badge pinned to jacket,award
gold trophy for tournament winner,award
trophy award on the podium,award
warranty guarantee symbol,award
extended warranty seal badge,award
ribbon badge with circular medal center,award
first place award ribbon at the county fair,award
best-in-class recognition seal,award
achievement badge with star and ribbon,award
competition winner prize ribbon,award
employee of the month award icon,award
gold medal with decorative ribbon hanging,award
honor roll recognition badge,award
outstanding performance award ceremony,award
blue ribbon for the best exhibit,award
I need an award icon for the achievements page,award
add a prize ribbon to the leaderboard section,award
show an award badge when the user completes a challenge,award
guaranee badge,award
tropy for first place,award
recogniton ribbon,award
achivment award,award
guarantee,award
trophy,award
award,award
guarantee for the trip,award
honor for the trip,award
praise for the trip,award
prize for the trip,award
recognition for the trip,award
ribbon for the trip,award
trophy for the trip,award
warranty for the trip,award
award for the trip,award
need to prepare guarantee,award
need to prepare honor,award
need to prepare praise,award
need to prepare prize,award
need to prepare recognition,award
need to prepare ribbon,award
need to prepare trophy,award
need to prepare warranty,award
need to prepare award,award
