text,label
auto,steering-wheel
car,steering-wheel
direction,steering-wheel
driving,steering-wheel
navigation,steering-wheel
steering,steering-wheel
wheel,steering-wheel
steering wheel,steering-wheel
auto für die Kinder,steering-wheel
car für die Kinder,steering-wheel
direction für die Kinder,steering-wheel
driving für die Kinder,steering-wheel
navigation für die Kinder,steering-wheel
steering für die Kinder,steering-wheel
wheel für die Kinder,steering-wheel
steering wheel für die Kinder,steering-wheel
auto abends,steering-wheel
car abends,steering-wheel
direction abends,steering-wheel
driving abends,steering-wheel
navigation abends,steering-wheel
steering abends,steering-wheel
wheel abends,steering-wheel
steering wheel abends,steering-wheel
auto am Montag,steering-wheel
car am Montag,steering-wheel
direction am Montag,steering-wheel
driving am Montag,steering-wheel
navigation am Montag,steering-wheel
steering am Montag,steering-wheel
wheel am Montag,steering-wheel
steering wheel am Montag,steering-wheel
auto am Wochenende,steering-wheel
car am Wochenende,steering-wheel
direction am Wochenende,steering-wheel
driving am Wochenende,steering-wheel
navigation am Wochenende,steering-wheel
steering am Wochenende,steering-wheel
wheel am Wochenende,steering-wheel
steering wheel am Wochenende,steering-wheel
auto nicht vergessen,steering-wheel
car nicht vergessen,steering-wheel
direction nicht vergessen,steering-wheel
driving nicht vergessen,steering-wheel
navigation nicht vergessen,steering-wheel
steering nicht vergessen,steering-wheel
wheel nicht vergessen,steering-wheel
steering wheel nicht vergessen,steering-wheel
auto erledigen,steering-wheel
car erledigen,steering-wheel
direction erledigen,steering-wheel
driving erledigen,steering-wheel
navigation erledigen,steering-wheel
steering erledigen,steering-wheel
wheel erledigen,steering-wheel
driviing für die Kinder,steering-wheel
directioon,steering-wheel
whheel abends,steering-wheel
steering whel,steering-wheel
auto nach der Arbeit,steering-wheel
