text,label
goal net,goal-net
lacrosse,goal-net
net,goal-net
penalty,goal-net
Celebrate the goal,goal-net
Shoot the puck into the goal net,goal-net
Hit the goal net,goal-net
Watch an NHL hockey game,goal-net
Play hockey on the ice,goal-net
Play lacrosse this weekend,goal-net
Join a lacrosse team,goal-net
Set up the net for practice,goal-net
Replace the torn net,goal-net
Take a penalty kick,goal-net
Save the penalty shot,goal-net
Play soccer in the park,goal-net
Practice soccer drills,goal-net
Score a goal in the soccer match,goal-net
Buy a goal net for the backyard,goal-net
Watch the goalie block the shot,goal-net
Sign up for a hockey league,goal-net
Practice shooting on goal,goal-net
GOAL!,goal-net
Score a goal,goal-net
Hockey night,goal-net
Penalty kick,goal-net
scroe a goal in soccre,goal-net
wacth the hokcy game,goal-net
practce penalty kicks,goal-net
set up the goaal net,goal-net
goal,goal-net
hockey,goal-net
soccer,goal-net
need to look for goal,goal-net
need to look for goal net,goal-net
need to look for hockey,goal-net
need to look for lacrosse,goal-net
need to look for net,goal-net
need to look for penalty,goal-net
need to look for soccer,goal-net
look for goal for kids,goal-net
look for goal net for kids,goal-net
look for hockey for kids,goal-net
look for lacrosse for kids,goal-net
look for net for kids,goal-net
look for penalty for kids,goal-net
look for soccer for kids,goal-net
finish goal,goal-net
finish goal net,goal-net
finish hockey,goal-net
finish lacrosse,goal-net
finish net,goal-net
finish penalty,goal-net
finish soccer,goal-net
goal appointment,goal-net
goal net appointment,goal-net
hockey appointment,goal-net
lacrosse appointment,goal-net
net appointment,goal-net
penalty appointment,goal-net
