text,label
ambulance,stretcher
bed,stretcher
emergency,stretcher
er,stretcher
patient,stretcher
stretcher,stretcher
ambulance aujourd'hui,stretcher
bed aujourd'hui,stretcher
emergency aujourd'hui,stretcher
er aujourd'hui,stretcher
patient aujourd'hui,stretcher
stretcher aujourd'hui,stretcher
ambulance le soir,stretcher
bed le soir,stretcher
emergency le soir,stretcher
er le soir,stretcher
patient le soir,stretcher
stretcher le soir,stretcher
ambulance ce week-end,stretcher
bed ce week-end,stretcher
emergency ce week-end,stretcher
er ce week-end,stretcher
patient ce week-end,stretcher
stretcher ce week-end,stretcher
remplacer le ambulance,stretcher
remplacer le bed,stretcher
remplacer le emergency,stretcher
remplacer le er,stretcher
remplacer le patient,stretcher
remplacer le stretcher,stretcher
ne pas oublier ambulance,stretcher
ne pas oublier bed,stretcher
ne pas oublier emergency,stretcher
ne pas oublier er,stretcher
ne pas oublier patient,stretcher
ne pas oublier stretcher,stretcher
nouveau ambulance,stretcher
nouveau bed,stretcher
nouveau emergency,stretcher
nouveau er,stretcher
nouveau patient,stretcher
nouveau stretcher,stretcher
finir ambulance,stretcher
finir bed,stretcher
finir emergency,stretcher
finir er,stretcher
finir patient,stretcher
finir stretcher,stretcher
ambulance pour le voyage,stretcher
bed pour le voyage,stretcher
emergency pour le voyage,stretcher
er pour le voyage,stretcher
patient pour le voyage,stretcher
stretcher pour le voyage,stretcher
ambulance pour samedi,stretcher
finirr bed,stretcher
ne ps oublier bed,stretcher
emergency aujurd'hui,stretcher
nouvau er,stretcher
emergenc le soir,stretcher
