text,label
banana,banana
fruit,banana
peel,banana
plantain,banana
potassium,banana
banana abends,banana
fruit abends,banana
peel abends,banana
plantain abends,banana
potassium abends,banana
wöchentlich banana,banana
wöchentlich fruit,banana
wöchentlich peel,banana
wöchentlich plantain,banana
wöchentlich potassium,banana
banana Termin,banana
fruit Termin,banana
peel Termin,banana
plantain Termin,banana
potassium Termin,banana
banana für die Reise,banana
fruit für die Reise,banana
peel für die Reise,banana
plantain für die Reise,banana
potassium für die Reise,banana
banana erledigen,banana
fruit erledigen,banana
peel erledigen,banana
plantain erledigen,banana
potassium erledigen,banana
banana bald mitnehmen,banana
fruit bald mitnehmen,banana
peel bald mitnehmen,banana
plantain bald mitnehmen,banana
potassium bald mitnehmen,banana
banana nach der Arbeit,banana
fruit nach der Arbeit,banana
peel nach der Arbeit,banana
plantain nach der Arbeit,banana
potassium nach der Arbeit,banana
banana im Laden mitnehmen,banana
fruit im Laden mitnehmen,banana
peel im Laden mitnehmen,banana
plantain im Laden mitnehmen,banana
potassium im Laden mitnehmen,banana
neuen banana mitnehmen,banana
neuen fruit mitnehmen,banana
neuen peel mitnehmen,banana
neuen plantain mitnehmen,banana
neuen potassium mitnehmen,banana
banana für die Kinder,banana
fruit für die Kinder,banana
peel für die Kinder,banana
plantain für die Kinder,banana
potassium für die Kinder,banana
plantaiin,banana
potasssium erledigen,banana
potasssium für die Kinder,banana
pel Termin,banana
frut im Laden mitnehmen,banana
