text,label
cinema,film
film,film
film frames,film
frames,film
movie,film
strip,film
video,film
cinema hoy,film
film hoy,film
film frames hoy,film
frames hoy,film
movie hoy,film
strip hoy,film
video hoy,film
cinema por la noche,film
film por la noche,film
film frames por la noche,film
frames por la noche,film
movie por la noche,film
strip por la noche,film
video por la noche,film
cinema por la mañana,film
film por la mañana,film
film frames por la mañana,film
frames por la mañana,film
movie por la mañana,film
strip por la mañana,film
video por la mañana,film
reparar cinema pronto,film
reparar film pronto,film
reparar film frames pronto,film
reparar frames pronto,film
reparar movie pronto,film
reparar strip pronto,film
reparar video pronto,film
empezar cinema,film
empezar film,film
empezar film frames,film
empezar frames,film
empezar movie,film
empezar strip,film
empezar video,film
no olvidar cinema,film
no olvidar film,film
no olvidar film frames,film
no olvidar frames,film
no olvidar movie,film
no olvidar strip,film
no olvidar video,film
cinema para el sábado,film
film para el sábado,film
film frames para el sábado,film
frames para el sábado,film
movie para el sábado,film
strip para el sábado,film
farmes por la noche,film
ciinema,film
no olivdar film,film
no olvidar strpi,film
cinema el lunes,film
