text,label
dusk,sunset
night,sunset
nighttime,sunset
sun,sunset
sun down,sunset
sunset,sunset
dusk el lunes,sunset
night el lunes,sunset
nighttime el lunes,sunset
sun el lunes,sunset
sun down el lunes,sunset
sunset el lunes,sunset
reparar dusk,sunset
reparar night,sunset
reparar nighttime,sunset
reparar sun,sunset
reparar sun down,sunset
reparar sunset,sunset
dusk por la mañana,sunset
night por la mañana,sunset
nighttime por la mañana,sunset
sun por la mañana,sunset
sun down por la mañana,sunset
sunset por la mañana,sunset
reparar el dusk,sunset
reparar el night,sunset
reparar el nighttime,sunset
reparar el sun,sunset
reparar el sun down,sunset
reparar el sunset,sunset
reparar dusk pronto,sunset
reparar night pronto,sunset
reparar nighttime pronto,sunset
reparar sun pronto,sunset
reparar sun down pronto,sunset
reparar sunset pronto,sunset
empezar dusk,sunset
empezar night,sunset
empezar nighttime,sunset
empezar sun,sunset
empezar sun down,sunset
empezar sunset,sunset
dusk para los niños,sunset
night para los niños,sunset
nighttime para los niños,sunset
sun para los niños,sunset
sun down para los niños,sunset
sunset para los niños,sunset
dusk para el viaje,sunset
night para el viaje,sunset
nighttime para el viaje,sunset
sun para el viaje,sunset
sun down para el viaje,sunset
sunset para el viaje,sunset
dusk hoy,sunset
repararr sunset,sunset
reparar sunset prnoto,sunset
nighttime el lunees,sunset
sunest,sunset
repraar sun pronto,sunset
