text,label
axe,pickaxe
climb,pickaxe
ice,pickaxe
mine,pickaxe
mining,pickaxe
mountaineering,pickaxe
rock,pickaxe
pickaxe,pickaxe
旅行用のaxe,pickaxe
旅行用のclimb,pickaxe
旅行用のice,pickaxe
旅行用のmine,pickaxe
旅行用のmining,pickaxe
旅行用のmountaineering,pickaxe
旅行用のrock,pickaxe
旅行用のpickaxe,pickaxe
axeを忘れないで,pickaxe
climbを忘れないで,pickaxe
iceを忘れないで,pickaxe
mineを忘れないで,pickaxe
miningを忘れないで,pickaxe
mountaineeringを忘れないで,pickaxe
rockを忘れないで,pickaxe
pickaxeを忘れないで,pickaxe
新しいaxeをキャンセルする,pickaxe
新しいclimbをキャンセルする,pickaxe
新しいiceをキャンセルする,pickaxe
新しいmineをキャンセルする,pickaxe
新しいminingをキャンセルする,pickaxe
新しいmountaineeringをキャンセルする,pickaxe
新しいrockをキャンセルする,pickaxe
新しいpickaxeをキャンセルする,pickaxe
axeをオンラインで買う,pickaxe
climbをオンラインで買う,pickaxe
iceをオンラインで買う,pickaxe
mineをオンラインで買う,pickaxe
miningをオンラインで買う,pickaxe
mountaineeringをオンラインで買う,pickaxe
rockをオンラインで買う,pickaxe
pickaxeをオンラインで買う,pickaxe
土曜日にaxe,pickaxe
土曜日にclimb,pickaxe
土曜日にice,pickaxe
土曜日にmine,pickaxe
土曜日にmining,pickaxe
土曜日にmountaineering,pickaxe
土曜日にrock,pickaxe
土曜日にpickaxe,pickaxe
axeは今日,pickaxe
climbは今日,pickaxe
iceは今日,pickaxe
mineは今日,pickaxe
miningは今日,pickaxe
mountaineeringは今日,pickaxe
rockは今日,pickaxe
mountaaineeringを忘れないで,pickaxe
iceは日,pickaxe
旅行用のock,pickaxe
ieを忘れないで,pickaxe
rocをk忘れないで,pickaxe
