text,label
головокружение,face-woozy
пьяный,face-woozy
истощение,face-woozy
опьяненный,face-woozy
подвыпивший,face-woozy
Чувствую головокружение после вращения,face-woozy
Головокружение от жары,face-woozy
"Не пейте, пока не напьетесь",face-woozy
Чувствовать себя пьяным после слишком большого количества,face-woozy
Преодолеть утомление от переутомления,face-woozy
Борьба с усталостью после поездки,face-woozy
Ощущение опьянения после употребления алкоголя,face-woozy
Будьте в безопасности в состоянии алкогольного опьянения,face-woozy
Чувствуешь себя пьяным после бокала вина,face-woozy
"Знай, когда ты пьян",face-woozy
Чувствую головокружение после слишком быстрого вставания,face-woozy
"Отдыхайте, когда чувствуете себя разбитым",face-woozy
"Пейте воду, когда чувствуете головокружение",face-woozy
"Избегайте алкоголя, чтобы оставаться трезвым",face-woozy
Отдых после чувства усталости,face-woozy
Оправиться от приступа головокружения,face-woozy
Чувствую головокружение после тренировки,face-woozy
"Делайте перерыв, когда плохо себя чувствуете",face-woozy
"Сядьте, когда почувствуете головокружение",face-woozy
"Сообщите кому-нибудь, если у вас закружится голова",face-woozy
Чувствую себя одурманенным,face-woozy
Слишком много пить,face-woozy
Вращающаяся голова,face-woozy
Нужно сесть,face-woozy
чувство головокружения и головокружения,face-woozy
"слишком много, чтобы пить",face-woozy
чувствовать себя опьяненным,face-woozy
"выпить воды, если закружилась голова",face-woozy
Волнуетесь перед выступлением,face-woozy
Чувствую усталость и хочу вздремнуть,face-woozy
"Смейся, пока не заплачешь",face-woozy
Почувствуйте облегчение после тяжелой работы,face-woozy
Чувствовать разочарование в сложившейся ситуации,face-woozy
Чувствуете сонливость после обильного приема пищи,face-woozy
