text,label
coin,coin
dime,coin
gold,coin
metal,coin
money,coin
nickel,coin
penny,coin
premium,coin
quarter,coin
silver,coin
treasure,coin
coin am Wochenende,coin
dime am Wochenende,coin
gold am Wochenende,coin
metal am Wochenende,coin
money am Wochenende,coin
nickel am Wochenende,coin
penny am Wochenende,coin
premium am Wochenende,coin
quarter am Wochenende,coin
silver am Wochenende,coin
treasure am Wochenende,coin
coin im Laden lernen,coin
dime im Laden lernen,coin
gold im Laden lernen,coin
metal im Laden lernen,coin
money im Laden lernen,coin
nickel im Laden lernen,coin
penny im Laden lernen,coin
premium im Laden lernen,coin
quarter im Laden lernen,coin
silver im Laden lernen,coin
treasure im Laden lernen,coin
coin Termin,coin
dime Termin,coin
gold Termin,coin
metal Termin,coin
money Termin,coin
nickel Termin,coin
penny Termin,coin
premium Termin,coin
quarter Termin,coin
silver Termin,coin
treasure Termin,coin
coin erledigen,coin
dime erledigen,coin
gold erledigen,coin
metal erledigen,coin
money erledigen,coin
nickel erledigen,coin
penny erledigen,coin
premium erledigen,coin
quarter erledigen,coin
silver erledigen,coin
treasure erledigen,coin
sliver am Wochenende,coin
nickl am Wochenende,coin
money im Lade lernen,coin
gold Terrmin,coin
coin abends,coin
