text,label
ноги,sneaker
шнурки,sneaker
бег,sneaker
беговой,sneaker
обувь,sneaker
теннисная обувь,sneaker
кроссовки на двух ногах готовы к пробежке,sneaker
удобные кроссовки для уставших ног,sneaker
шнурки кроссовка завязаны двойным узлом,sneaker
развязанные шнурки свисают с белого кроссовка,sneaker
пробежать марафон в легких кроссовках,sneaker
иконка бега для fitness tracker app,sneaker
беговой кроссовок с амортизирующей пяткой,sneaker
беговые кроссовки разложены перед утренней пробежкой,sneaker
спортивная обувь с дышащим верхом из сетки,sneaker
повседневная обувь для комфорта каждый день,sneaker
теннисная обувь с нескользящей подошвой,sneaker
классический белый tennis shoe на корте,sneaker
белый спортивный кроссовок с цветными вставками,sneaker
зашнуровать кроссовки для утреннего бега,sneaker
иконка обуви для fitness app,sneaker
кроссовок с толстой резиновой подошвой и сетчатым верхом,sneaker
купить новую пару кроссовок для тренажерного зала,sneaker
иконка категории обуви в sportswear shopping app,sneaker
низкий кроссовок из канваса в профиль,sneaker
носить кроссовки для комфорта в долгой прогулке,sneaker
иконка спортивной обуви в training tracker,sneaker
классический ретро-кроссовок в профиль,sneaker
кроссовок с толстой резиновой подошвой,sneaker
кроссовок плотно зашнурован,sneaker
кроссовок для утренней пробежки,sneaker
кроссовок для зала,sneaker
полированная кожаная туфля на низком каблуке,sneaker
формальная оксфордская туфля с острым носом,sneaker
резиновый сапог для дождя,sneaker
походный ботинок с глубокой подошвой,sneaker
легкий шлепанец для пляжа,sneaker
кожаная сандалия с ремешком на щиколотке,sneaker
