text,label
ダイヤモンド,gem
ジェム,gem
gem stone,gem
jewel,gem
jewelry,gem
sapphire,gem
stone,gem
treasure,gem
子供用のダイヤモンド,gem
子供用のジェム,gem
子供用のgem stone,gem
子供用のjewel,gem
子供用のjewelry,gem
子供用のsapphire,gem
子供用のstone,gem
子供用のtreasure,gem
仕事の後にダイヤモンド,gem
仕事の後にジェム,gem
仕事の後にgem stone,gem
仕事の後にjewel,gem
仕事の後にjewelry,gem
仕事の後にsapphire,gem
仕事の後にstone,gem
仕事の後にtreasure,gem
新しいダイヤモンドを確認する,gem
新しいジェムを確認する,gem
新しいgem stoneを確認する,gem
新しいjewelを確認する,gem
新しいjewelryを確認する,gem
新しいsapphireを確認する,gem
新しいstoneを確認する,gem
新しいtreasureを確認する,gem
週末にダイヤモンド,gem
週末にジェム,gem
週末にgem stone,gem
週末にjewel,gem
週末にjewelry,gem
週末にsapphire,gem
週末にstone,gem
週末にtreasure,gem
ダイヤモンドをオンラインで買う,gem
ジェムをオンラインで買う,gem
gem stoneをオンラインで買う,gem
jewelをオンラインで買う,gem
jewelryをオンラインで買う,gem
sapphireをオンラインで買う,gem
stoneをオンラインで買う,gem
treasureをオンラインで買う,gem
ダイヤモンドを忘れないで,gem
ジェムを忘れないで,gem
gem stoneを忘れないで,gem
jewelを忘れないで,gem
jewelryを忘れないで,gem
sapphireを忘れないで,gem
stoneを忘れないで,gem
週末にsstone,gem
新しsapphireを確認する,gem
週末末にtreasure,gem
ジェムをオラインで買う,gem
gem stne,gem
