text,label
collect,bin-bottles
jug,bin-bottles
plastics,bin-bottles
recycle,bin-bottles
bin,bin-bottles
bottles,bin-bottles
bin bottles,bin-bottles
collect por la noche,bin-bottles
jug por la noche,bin-bottles
plastics por la noche,bin-bottles
recycle por la noche,bin-bottles
bin por la noche,bin-bottles
bottles por la noche,bin-bottles
bin bottles por la noche,bin-bottles
collect cita,bin-bottles
jug cita,bin-bottles
plastics cita,bin-bottles
recycle cita,bin-bottles
bin cita,bin-bottles
bottles cita,bin-bottles
bin bottles cita,bin-bottles
collect para el viaje,bin-bottles
jug para el viaje,bin-bottles
plastics para el viaje,bin-bottles
recycle para el viaje,bin-bottles
bin para el viaje,bin-bottles
bottles para el viaje,bin-bottles
bin bottles para el viaje,bin-bottles
collect para los niños,bin-bottles
jug para los niños,bin-bottles
plastics para los niños,bin-bottles
recycle para los niños,bin-bottles
bin para los niños,bin-bottles
bottles para los niños,bin-bottles
bin bottles para los niños,bin-bottles
collect el lunes,bin-bottles
jug el lunes,bin-bottles
plastics el lunes,bin-bottles
recycle el lunes,bin-bottles
bin el lunes,bin-bottles
bottles el lunes,bin-bottles
bin bottles el lunes,bin-bottles
collect hoy,bin-bottles
jug hoy,bin-bottles
plastics hoy,bin-bottles
recycle hoy,bin-bottles
bin hoy,bin-bottles
bottles hoy,bin-bottles
bin bottles hoy,bin-bottles
inscribirse en collect pronto,bin-bottles
inscribirse en jug pronto,bin-bottles
inscribirse en plastics pronto,bin-bottles
inscribirse en recycle pronto,bin-bottles
inscribirse en bin pronto,bin-bottles
inscribirse en bottles pronto,bin-bottles
reccle cita,bin-bottles
recycle para los niñoos,bin-bottles
plastic el lunes,bin-bottles
recycle el lnues,bin-bottles
recyclee cita,bin-bottles
