text,label
baggage,suitcase
luggage,suitcase
move,suitcase
packing,suitcase
suitcase,suitcase
travel,suitcase
trip,suitcase
baggageを終わらせる,suitcase
luggageを終わらせる,suitcase
moveを終わらせる,suitcase
packingを終わらせる,suitcase
suitcaseを終わらせる,suitcase
travelを終わらせる,suitcase
tripを終わらせる,suitcase
週末にbaggage,suitcase
週末にluggage,suitcase
週末にmove,suitcase
週末にpacking,suitcase
週末にsuitcase,suitcase
週末にtravel,suitcase
週末にtrip,suitcase
子供用のbaggage,suitcase
子供用のluggage,suitcase
子供用のmove,suitcase
子供用のpacking,suitcase
子供用のsuitcase,suitcase
子供用のtravel,suitcase
子供用のtrip,suitcase
仕事の後にbaggage,suitcase
仕事の後にluggage,suitcase
仕事の後にmove,suitcase
仕事の後にpacking,suitcase
仕事の後にsuitcase,suitcase
仕事の後にtravel,suitcase
仕事の後にtrip,suitcase
新しいbaggageを更新する,suitcase
新しいluggageを更新する,suitcase
新しいmoveを更新する,suitcase
新しいpackingを更新する,suitcase
新しいsuitcaseを更新する,suitcase
新しいtravelを更新する,suitcase
新しいtripを更新する,suitcase
そろそろbaggage,suitcase
そろそろluggage,suitcase
そろそろmove,suitcase
そろそろpacking,suitcase
そろそろsuitcase,suitcase
そろそろtravel,suitcase
そろそろtrip,suitcase
土曜日にbaggage,suitcase
土曜日にluggage,suitcase
土曜日にmove,suitcase
土曜日にpacking,suitcase
土曜日にsuitcase,suitcase
土曜日にtravel,suitcase
仕の後にsuitcase,suitcase
土曜日にbagggage,suitcase
子供供用のluggage,suitcase
そろそろsiutcase,suitcase
仕事の後にsuiitcase,suitcase
