text,label
donut,donut
doughnut,donut
frosting,donut
homer simpson,donut
jimmies,donut
sprinkles,donut
no olvidar donut,donut
no olvidar doughnut,donut
no olvidar frosting,donut
no olvidar homer simpson,donut
no olvidar jimmies,donut
no olvidar sprinkles,donut
donut este fin de semana,donut
doughnut este fin de semana,donut
frosting este fin de semana,donut
homer simpson este fin de semana,donut
jimmies este fin de semana,donut
sprinkles este fin de semana,donut
donut para el sábado,donut
doughnut para el sábado,donut
frosting para el sábado,donut
homer simpson para el sábado,donut
jimmies para el sábado,donut
sprinkles para el sábado,donut
donut mañana,donut
doughnut mañana,donut
frosting mañana,donut
homer simpson mañana,donut
jimmies mañana,donut
sprinkles mañana,donut
donut el lunes,donut
doughnut el lunes,donut
frosting el lunes,donut
homer simpson el lunes,donut
jimmies el lunes,donut
sprinkles el lunes,donut
donut semanal,donut
doughnut semanal,donut
frosting semanal,donut
homer simpson semanal,donut
jimmies semanal,donut
sprinkles semanal,donut
donut después del trabajo,donut
doughnut después del trabajo,donut
frosting después del trabajo,donut
homer simpson después del trabajo,donut
jimmies después del trabajo,donut
sprinkles después del trabajo,donut
nuevo donut,donut
nuevo doughnut,donut
nuevo frosting,donut
nuevo homer simpson,donut
nuevo jimmies,donut
nuevo sprinkles,donut
recoger donut pronto,donut
doughnut después dell trabajo,donut
jimies,donut
homer smpson semanal,donut
sprinklles después del trabajo,donut
donut hoy,donut
