text,label
construction,shovel
dig,shovel
excavate,shovel
trench,shovel
construction worker using a shovel on site,shovel
construction tool for moving soil and gravel,shovel
dig a hole with a pointed shovel,shovel
dig the garden bed before planting,shovel
gardening equipment including a shovel and rake,shovel
heavy equipment including a mechanical shovel,shovel
excavate a trench for water pipes,shovel
excavate the foundation for a new building,shovel
maintenance crew shoveling debris from the road,shovel
routine maintenance with a shovel and wheelbarrow,shovel
essential garden tool for digging and moving soil,shovel
tool icon for a home improvement app,shovel
dig a trench for a drainage pipe,shovel
trench dug with a long-handled shovel,shovel
shovel with a long handle and flat blade,shovel
dig a garden bed with a spade shovel,shovel
construction tool icon for a work or project app,shovel
metal blade shovel stuck in a pile of soil,shovel
shovel snow from the driveway after a blizzard,shovel
outdoor maintenance icon for a home services app,shovel
pointed shovel leaning against a garden wall,shovel
scoop dirt into a wheelbarrow with a shovel,shovel
landscaping tool icon for a gardening app,shovel
round blade garden shovel with a d-grip handle,shovel
shovle stuck in the ground,shovel
shoevl leaning against the wall,shovel
shoval digging the garden bed,shovel
shovell for the construction site,shovel
